Tipo,Ticker,Descrição,DY (%),PL (R$)
Fiagro: Indefinido,AAGR11,ASSET BANK AGRONEGÓCIOS FIAGRO IMOBILIARIO,"6,49",-
FIInfra: Indefinido,AATH11,,-,-
Fiagro: Indefinido,AAZQ11,AZ Quest Sole,"17,73","208,9 M"
Tijolo: Shoppings,ABCP11,Grand Plaza Shopping,"9,54","480,0 M"
Fundo Misto: Educacional,AEFI11,FII AESAPAR,-,"342,1 M"
Papel: Papéis,AFCR11,FII AFINVCR,-,-
Papel: Papéis,AFHI11,AF INVEST CRI,"12,17","438,8 M"
Papel: Fundo de Fundos,AFOF11,ALIANZA FOF,-,-
Tijolo: Agências de Bancos,AGCX11,FII AG CAIXA,-,"1,3 B"
Outros: Outros,AGRX11,Exes Araguaia,-,-
Tijolo: Lajes Corporativas,AIEC11,AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.,"16,07","407,8 M"
Sem categoria: Shoppings,AJFI11,,"7,67","387,6 M"
Tijolo: Lajes Corporativas,ALMI11,Torre Almirante,"0,96","240,9 M"
Outros: Indefinido,ALMI11B,FII TORRE AL,-,-
Papel: Papéis,ALZC11,FII ALI CRED,"4,84",-
Fundo Misto: Misto,ALZR11,Alianza Trust Renda Imobiliária,"9,45","1,3 B"
Fiagro: Indefinido,AMAZ11,BLOXS AMAZON GREEN LEG FDO INV NAS CAD PROD AGRO,-,-
Tijolo: Shoppings,ANCR11B,Ancar CI,"1,32","2,9 B"
Tijolo: Imóveis Residenciais,APTO11,NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,"11,57","46,4 M"
Sem categoria: Shoppings,APXM11,,"6,40","168,8 M"
Sem categoria: Imóveis Residenciais,APXR11,,-,"8,8 M"
Sem categoria: Imóveis Residenciais,APXU11,,-,"8,9 M"
Outros: Fundo de Fundos,AQLL11,FII AQUILLA,-,"141,1 M"
Tijolo: Imóveis Industriais e Logísticos,ARCT11,RIZA ARCTIUM REAL ESTATE FDO INV IMOB,"16,59","371,5 M"
Outros: Imóveis Industriais e Logísticos,ARFI11B,FII AQUIL RD,-,"74,3 M"
Sem categoria: Imóveis Industriais e Logísticos,AROA11,,"6,99","165,7 M"
Papel: Papéis,ARRI11,FDO. INV. IMOB. ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS,"13,26","153,8 M"
Sem categoria: Papéis,ARXD11,,"12,33","64,3 M"
Tijolo: Lajes Corporativas,ASMT11,ASA METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,"1,22","98,3 M"
Sem categoria: Indefinido,ASRF11,,"2,36","28,6 M"
Tijolo: Lajes Corporativas,ATCR11,HAZ,-,"68,5 M"
Tijolo: Shoppings,ATSA11,Hedge Atrium Shopping Santo André,"1,29","133,6 M"
Outros: Indefinido,ATSA11B,FII CSHGATSA,-,-
