Ticker,Title,Endereço,Bairro,Cidade,Área Bruta Locável
ABCP11,Grand Plaza Shopping,Avenida Industrial,,Avenida Industrial - SP,"74.503,13 m2"
AEFI11,Santo André,Rua Senador Flaquer,Centro,Santo André - SP,"7.722,00 m2"
AEFI11,Cuiabá,Avenida Beira Rio,Jardim Europa,Cuiabá - MT,"15.659,20 m2"
AEFI11,Rua dos Timbiras,Rua dos Timbiras,Funcionários,Belo Horizonte - MG,"5.940,00 m2"
AEFI11,São Luis,Avenida São Luís Rei de França,,Avenida São Luís Rei de França - MA,"24.286,83 m2"
AEFI11,Av. Presidente Juscelino Kubitschek,Avenida Presidente Juscelino Kubitschek,,Avenida Presidente Juscelino Kubitschek - MG,"24.483,00 m2"
AEFI11,Consolação - 2320,Rua da Consolação,República,São Paulo - SP,"586,90 m2"
AEFI11,São Bernardo do Campo,Avenida Doutor Rudge Ramos,Rudge Ramos,São Bernardo do Campo - SP,"23.771,00 m2"
AGCX11,AGCX São Paulo,Estrada do Campo Limpo,Campo Limpo,São Paulo - SP,"604,00 m2"
AGCX11,Caixa - Mutinga - Osasco/SP,Avenida das Esmeraldas,Mutinga,Osasco - SP,"804,00 m2"
AGCX11,GPA - Centro - São Bernardo do Campo/SP,Rua Santa Filomena,Centro,São Bernardo do Campo - SP,"2.365,00 m2"
AGCX11,Coco Bambu - Haddock Lobo - São Paulo/SP,Rua Haddock Lobo,Jardim Paulista,São Paulo - SP,"1.365,00 m2"
AGCX11,M3Storage - Nova Paulista - São Paulo/SP,Avenida Paulista,Bela Vista,São Paulo - SP,"693,32 m2"
AGCX11,- - Centro - São Bernardo do Campo/SP,Rua Marechal Deodoro,Benfica,Fortaleza - CE,"1.524,32 m2"
AGCX11,GPA - Centro - Guarujá/SP,Estrada de Pernambuco,Guarujá,Guarujá - SP,"2.780,00 m2"
AGCX11,Caixa - Vila Mascote - São Paulo/SP,Avenida Santa Catarina,Canto,Florianópolis - SC,"500,00 m2"
AGCX11,Santander - Centro - Santos/SP,Praça Visconde de Mauá,Centro,Santos - SP,"4.505,00 m2"
AGCX11,Santander - Vila Santa Cecília - Volta Redonda/RJ,Rua 12,,Pacatuba - CE,"2.920,00 m2"
AGCX11,- - Berrini - São Paulo/SP,Avenida Engenheiro Luís Carlos Berrini,Itaim Bibi,São Paulo - SP,"1.873,73 m2"
AGCX11,Santander - Alcântara - São Gonçalo/RJ,Rua João de Almeida,Tatuapé,São Paulo - SP,"1.089,00 m2"
AGCX11,Caixa - Páteo do Colégio - São Paulo/SP,Largo Páteo do Colégio,Sé,São Paulo - SP,"676,00 m2"
AGCX11,Caixa - Santa Cecília - São Paulo/SP,Rua das Palmeiras,Santa Cecília,São Paulo - SP,"1.205,86 m2"
