Ticker,Descrição,Valor
AAGR11,Aplicação em 12 meses,"R$ 50.000,00"
AAGR11,Montante final na POUPANÇA,"R$ 53.000,00"
AAGR11,Montante final no FUNDO,"R$ 54.921,42"
AAGR11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 3.243,10"
AAGR11,Valorização patrimonial no fundo,"R$ 51.678,32"
AAGR11,AAGR11 X POUPANÇA,"3,63%"
AATH11,Aplicação em 12 meses,"R$ 50.000,00"
AATH11,Montante final na POUPANÇA,"R$ 53.000,00"
AATH11,Montante final no FUNDO,N/A
AATH11,Rendimento (ISENTO DE IR) no FUNDO,N/A
AATH11,Valorização patrimonial no fundo,"R$ 58.118,40"
AATH11,AATH11 X POUPANÇA,N/A
AAZQ11,Aplicação em 12 meses,"R$ 50.000,00"
AAZQ11,Montante final na POUPANÇA,"R$ 53.000,00"
AAZQ11,Montante final no FUNDO,"R$ 51.176,83"
AAZQ11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 8.866,77"
AAZQ11,Valorização patrimonial no fundo,"R$ 42.310,06"
AAZQ11,AAZQ11 X POUPANÇA,"-3,44%"
ABCP11,Aplicação em 12 meses,"R$ 50.000,00"
ABCP11,Montante final na POUPANÇA,"R$ 53.000,00"
ABCP11,Montante final no FUNDO,"R$ 55.142,32"
ABCP11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 4.762,84"
ABCP11,Valorização patrimonial no fundo,"R$ 50.379,48"
ABCP11,ABCP11 X POUPANÇA,"4,04%"
AEFI11,Aplicação em 12 meses,"R$ 50.000,00"
AEFI11,Montante final na POUPANÇA,"R$ 53.000,00"
AEFI11,Montante final no FUNDO,N/A
AEFI11,Rendimento (ISENTO DE IR) no FUNDO,N/A
AEFI11,Valorização patrimonial no fundo,"R$ 50.000,00"
AEFI11,AEFI11 X POUPANÇA,N/A
AFCR11,Aplicação em 12 meses,"R$ 50.000,00"
AFCR11,Montante final na POUPANÇA,N/A
AFCR11,Montante final no FUNDO,N/A
AFCR11,Rendimento (ISENTO DE IR) no FUNDO,N/A
AFCR11,Valorização patrimonial no fundo,N/A
AFCR11,AFCR11 X POUPANÇA,N/A
AFHI11,Aplicação em 12 meses,"R$ 50.000,00"
AFHI11,Montante final na POUPANÇA,"R$ 53.000,00"
AFHI11,Montante final no FUNDO,"R$ 57.687,16"
AFHI11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 6.078,48"
AFHI11,Valorização patrimonial no fundo,"R$ 51.608,68"
AFHI11,AFHI11 X POUPANÇA,"8,84%"
AFOF11,Aplicação em 12 meses,"R$ 50.000,00"
AFOF11,Montante final na POUPANÇA,N/A
AFOF11,Montante final no FUNDO,N/A
AFOF11,Rendimento (ISENTO DE IR) no FUNDO,N/A
AFOF11,Valorização patrimonial no fundo,N/A
AFOF11,AFOF11 X POUPANÇA,N/A
AGCX11,Aplicação em 12 meses,"R$ 50.000,00"
AGCX11,Montante final na POUPANÇA,"R$ 53.000,00"
AGCX11,Montante final no FUNDO,N/A
AGCX11,Rendimento (ISENTO DE IR) no FUNDO,N/A
AGCX11,Valorização patrimonial no fundo,"R$ 50.000,00"
AGCX11,AGCX11 X POUPANÇA,N/A
AGRX11,Aplicação em 12 meses,"R$ 50.000,00"
AGRX11,Montante final na POUPANÇA,"R$ 53.000,00"
AGRX11,Montante final no FUNDO,N/A
AGRX11,Rendimento (ISENTO DE IR) no FUNDO,N/A
AGRX11,Valorização patrimonial no fundo,"R$ 48.815,12"
AGRX11,AGRX11 X POUPANÇA,N/A
AIEC11,Aplicação em 12 meses,"R$ 50.000,00"
AIEC11,Montante final na POUPANÇA,"R$ 53.000,00"
AIEC11,Montante final no FUNDO,"R$ 47.838,54"
AIEC11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 8.027,52"
AIEC11,Valorização patrimonial no fundo,"R$ 39.811,02"
AIEC11,AIEC11 X POUPANÇA,"-9,74%"
AJFI11,Aplicação em 12 meses,"R$ 50.000,00"
AJFI11,Montante final na POUPANÇA,"R$ 53.000,00"
AJFI11,Montante final no FUNDO,"R$ 45.958,23"
AJFI11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 3.831,98"
AJFI11,Valorização patrimonial no fundo,"R$ 42.126,25"
AJFI11,AJFI11 X POUPANÇA,"-13,29%"
ALMI11,Aplicação em 12 meses,"R$ 50.000,00"
ALMI11,Montante final na POUPANÇA,"R$ 53.000,00"
ALMI11,Montante final no FUNDO,"R$ 43.457,59"
ALMI11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 476,35"
ALMI11,Valorização patrimonial no fundo,"R$ 42.981,23"
ALMI11,ALMI11 X POUPANÇA,"-18,00%"
ALMI11B,Aplicação em 12 meses,"R$ 50.000,00"
ALMI11B,Montante final na POUPANÇA,N/A
ALMI11B,Montante final no FUNDO,N/A
ALMI11B,Rendimento (ISENTO DE IR) no FUNDO,N/A
ALMI11B,Valorização patrimonial no fundo,N/A
ALMI11B,ALMI11B X POUPANÇA,N/A
ALZC11,Aplicação em 12 meses,"R$ 50.000,00"
ALZC11,Montante final na POUPANÇA,"R$ 53.000,00"
ALZC11,Montante final no FUNDO,"R$ 57.100,50"
ALZC11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 2.418,00"
ALZC11,Valorização patrimonial no fundo,"R$ 54.682,50"
ALZC11,ALZC11 X POUPANÇA,"7,74%"
ALZR11,Aplicação em 12 meses,"R$ 50.000,00"
ALZR11,Montante final na POUPANÇA,"R$ 53.000,00"
ALZR11,Montante final no FUNDO,"R$ 52.928,41"
ALZR11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 4.723,16"
ALZR11,Valorização patrimonial no fundo,"R$ 48.205,25"
ALZR11,ALZR11 X POUPANÇA,"-0,14%"
AMAZ11,Aplicação em 12 meses,"R$ 50.000,00"
AMAZ11,Montante final na POUPANÇA,N/A
AMAZ11,Montante final no FUNDO,N/A
AMAZ11,Rendimento (ISENTO DE IR) no FUNDO,N/A
AMAZ11,Valorização patrimonial no fundo,N/A
AMAZ11,AMAZ11 X POUPANÇA,N/A
ANCR11B,Aplicação em 12 meses,"R$ 50.000,00"
ANCR11B,Montante final na POUPANÇA,"R$ 53.000,00"
ANCR11B,Montante final no FUNDO,"R$ 47.220,37"
ANCR11B,Rendimento (ISENTO DE IR) no FUNDO,"R$ 636,24"
ANCR11B,Valorização patrimonial no fundo,"R$ 46.584,13"
ANCR11B,ANCR11B X POUPANÇA,"-10,90%"
APTO11,Aplicação em 12 meses,"R$ 50.000,00"
APTO11,Montante final na POUPANÇA,"R$ 53.000,00"
APTO11,Montante final no FUNDO,"R$ 54.402,86"
APTO11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 5.782,70"
APTO11,Valorização patrimonial no fundo,"R$ 48.620,16"
APTO11,APTO11 X POUPANÇA,"2,65%"
APXM11,Aplicação em 12 meses,"R$ 50.000,00"
APXM11,Montante final na POUPANÇA,"R$ 53.000,00"
APXM11,Montante final no FUNDO,"R$ 45.737,56"
APXM11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 3.201,07"
APXM11,Valorização patrimonial no fundo,"R$ 42.536,49"
APXM11,APXM11 X POUPANÇA,"-13,70%"
APXR11,Aplicação em 12 meses,"R$ 50.000,00"
APXR11,Montante final na POUPANÇA,"R$ 53.000,00"
APXR11,Montante final no FUNDO,N/A
APXR11,Rendimento (ISENTO DE IR) no FUNDO,N/A
APXR11,Valorização patrimonial no fundo,"R$ 50.505,00"
APXR11,APXR11 X POUPANÇA,N/A
APXU11,Aplicação em 12 meses,"R$ 50.000,00"
APXU11,Montante final na POUPANÇA,N/A
APXU11,Montante final no FUNDO,N/A
APXU11,Rendimento (ISENTO DE IR) no FUNDO,N/A
APXU11,Valorização patrimonial no fundo,N/A
APXU11,APXU11 X POUPANÇA,N/A
AQLL11,Aplicação em 12 meses,"R$ 50.000,00"
AQLL11,Montante final na POUPANÇA,"R$ 53.000,00"
AQLL11,Montante final no FUNDO,N/A
AQLL11,Rendimento (ISENTO DE IR) no FUNDO,N/A
AQLL11,Valorização patrimonial no fundo,"R$ 50.000,00"
AQLL11,AQLL11 X POUPANÇA,N/A
ARCT11,Aplicação em 12 meses,"R$ 50.000,00"
ARCT11,Montante final na POUPANÇA,"R$ 53.000,00"
ARCT11,Montante final no FUNDO,N/A
ARCT11,Rendimento (ISENTO DE IR) no FUNDO,N/A
ARCT11,Valorização patrimonial no fundo,"R$ 40.354,40"
ARCT11,ARCT11 X POUPANÇA,N/A
ARFI11B,Aplicação em 12 meses,"R$ 50.000,00"
ARFI11B,Montante final na POUPANÇA,"R$ 53.000,00"
ARFI11B,Montante final no FUNDO,N/A
ARFI11B,Rendimento (ISENTO DE IR) no FUNDO,N/A
ARFI11B,Valorização patrimonial no fundo,"R$ 50.000,00"
ARFI11B,ARFI11B X POUPANÇA,N/A
AROA11,Aplicação em 12 meses,"R$ 50.000,00"
AROA11,Montante final na POUPANÇA,"R$ 53.000,00"
AROA11,Montante final no FUNDO,"R$ 50.639,95"
AROA11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 3.494,95"
AROA11,Valorização patrimonial no fundo,"R$ 47.145,00"
AROA11,AROA11 X POUPANÇA,"-4,45%"
ARRI11,Aplicação em 12 meses,"R$ 50.000,00"
ARRI11,Montante final na POUPANÇA,"R$ 53.000,00"
ARRI11,Montante final no FUNDO,"R$ 57.873,61"
ARRI11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 6.628,80"
ARRI11,Valorização patrimonial no fundo,"R$ 51.244,81"
ARRI11,ARRI11 X POUPANÇA,"9,20%"
ARXD11,Aplicação em 12 meses,"R$ 50.000,00"
ARXD11,Montante final na POUPANÇA,"R$ 53.000,00"
ARXD11,Montante final no FUNDO,"R$ 57.522,61"
ARXD11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 6.162,75"
ARXD11,Valorização patrimonial no fundo,"R$ 51.359,86"
ARXD11,ARXD11 X POUPANÇA,"8,53%"
ASMT11,Aplicação em 12 meses,"R$ 50.000,00"
ASMT11,Montante final na POUPANÇA,"R$ 53.000,00"
ASMT11,Montante final no FUNDO,"R$ 38.620,22"
ASMT11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 1.039,50"
ASMT11,Valorização patrimonial no fundo,"R$ 37.580,72"
ASMT11,ASMT11 X POUPANÇA,"-27,13%"
ASRF11,Aplicação em 12 meses,"R$ 50.000,00"
ASRF11,Montante final na POUPANÇA,"R$ 53.000,00"
ASRF11,Montante final no FUNDO,"R$ 54.433,56"
ASRF11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 1.025,31"
ASRF11,Valorização patrimonial no fundo,"R$ 53.408,24"
ASRF11,ASRF11 X POUPANÇA,"2,70%"
ATCR11,Aplicação em 12 meses,"R$ 50.000,00"
ATCR11,Montante final na POUPANÇA,N/A
ATCR11,Montante final no FUNDO,N/A
ATCR11,Rendimento (ISENTO DE IR) no FUNDO,N/A
ATCR11,Valorização patrimonial no fundo,N/A
ATCR11,ATCR11 X POUPANÇA,N/A
ATSA11,Aplicação em 12 meses,"R$ 50.000,00"
ATSA11,Montante final na POUPANÇA,"R$ 53.000,00"
ATSA11,Montante final no FUNDO,"R$ 51.291,62"
ATSA11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 642,24"
ATSA11,Valorização patrimonial no fundo,"R$ 50.649,38"
ATSA11,ATSA11 X POUPANÇA,"-3,22%"
ATSA11B,Aplicação em 12 meses,"R$ 50.000,00"
ATSA11B,Montante final na POUPANÇA,N/A
ATSA11B,Montante final no FUNDO,N/A
ATSA11B,Rendimento (ISENTO DE IR) no FUNDO,N/A
ATSA11B,Valorização patrimonial no fundo,N/A
ATSA11B,ATSA11B X POUPANÇA,N/A
ATWN11,Aplicação em 12 meses,"R$ 50.000,00"
ATWN11,Montante final na POUPANÇA,N/A
ATWN11,Montante final no FUNDO,N/A
ATWN11,Rendimento (ISENTO DE IR) no FUNDO,N/A
ATWN11,Valorização patrimonial no fundo,N/A
ATWN11,ATWN11 X POUPANÇA,N/A
AURB11,Aplicação em 12 meses,"R$ 50.000,00"
AURB11,Montante final na POUPANÇA,"R$ 53.000,00"
AURB11,Montante final no FUNDO,"R$ 45.649,20"
AURB11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 642,40"
AURB11,Valorização patrimonial no fundo,"R$ 45.006,80"
AURB11,AURB11 X POUPANÇA,"-13,87%"
AZIN11,Aplicação em 12 meses,"R$ 50.000,00"
AZIN11,Montante final na POUPANÇA,N/A
AZIN11,Montante final no FUNDO,N/A
AZIN11,Rendimento (ISENTO DE IR) no FUNDO,N/A
AZIN11,Valorização patrimonial no fundo,N/A
AZIN11,AZIN11 X POUPANÇA,N/A
AZPL11,Aplicação em 12 meses,"R$ 50.000,00"
AZPL11,Montante final na POUPANÇA,N/A
AZPL11,Montante final no FUNDO,N/A
AZPL11,Rendimento (ISENTO DE IR) no FUNDO,N/A
AZPL11,Valorização patrimonial no fundo,N/A
AZPL11,AZPL11 X POUPANÇA,N/A
BARI11,Aplicação em 12 meses,"R$ 50.000,00"
BARI11,Montante final na POUPANÇA,"R$ 53.000,00"
BARI11,Montante final no FUNDO,"R$ 51.936,25"
BARI11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 5.481,81"
BARI11,Valorização patrimonial no fundo,"R$ 46.454,44"
BARI11,BARI11 X POUPANÇA,"-2,01%"
BBFI11B,Aplicação em 12 meses,"R$ 50.000,00"
BBFI11B,Montante final na POUPANÇA,"R$ 53.000,00"
BBFI11B,Montante final no FUNDO,"R$ 60.582,15"
BBFI11B,Rendimento (ISENTO DE IR) no FUNDO,"R$ 12.381,44"
BBFI11B,Valorização patrimonial no fundo,"R$ 48.200,71"
BBFI11B,BBFI11B X POUPANÇA,"14,31%"
BBFO11,Aplicação em 12 meses,"R$ 50.000,00"
BBFO11,Montante final na POUPANÇA,"R$ 53.000,00"
BBFO11,Montante final no FUNDO,"R$ 54.784,69"
BBFO11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 5.309,64"
BBFO11,Valorização patrimonial no fundo,"R$ 49.475,05"
BBFO11,BBFO11 X POUPANÇA,"3,37%"
BBGO11,Aplicação em 12 meses,"R$ 50.000,00"
BBGO11,Montante final na POUPANÇA,"R$ 53.000,00"
BBGO11,Montante final no FUNDO,"R$ 51.239,49"
BBGO11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 6.032,90"
BBGO11,Valorização patrimonial no fundo,"R$ 45.206,59"
BBGO11,BBGO11 X POUPANÇA,"-3,32%"
BBIG11,Aplicação em 12 meses,"R$ 50.000,00"
BBIG11,Montante final na POUPANÇA,"R$ 53.000,00"
BBIG11,Montante final no FUNDO,"R$ 49.633,17"
BBIG11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 1.263,12"
BBIG11,Valorização patrimonial no fundo,"R$ 48.370,05"
BBIG11,BBIG11 X POUPANÇA,"-6,35%"
BBIM11,Aplicação em 12 meses,"R$ 50.000,00"
BBIM11,Montante final na POUPANÇA,N/A
BBIM11,Montante final no FUNDO,N/A
BBIM11,Rendimento (ISENTO DE IR) no FUNDO,N/A
BBIM11,Valorização patrimonial no fundo,N/A
BBIM11,BBIM11 X POUPANÇA,N/A
BBPO11,Aplicação em 12 meses,"R$ 50.000,00"
BBPO11,Montante final na POUPANÇA,"R$ 53.000,00"
BBPO11,Montante final no FUNDO,"R$ 58.851,64"
BBPO11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 5.846,28"
BBPO11,Valorização patrimonial no fundo,"R$ 53.005,36"
BBPO11,BBPO11 X POUPANÇA,"11,04%"
BBRC11,Aplicação em 12 meses,"R$ 50.000,00"
BBRC11,Montante final na POUPANÇA,"R$ 53.000,00"
BBRC11,Montante final no FUNDO,"R$ 56.076,75"
BBRC11,Rendimento (ISENTO DE IR) no FUNDO,"R$ 5.886,99"
BBRC11,Valorização patrimonial no fundo,"R$ 50.189,76"
BBRC11,BBRC11 X POUPANÇA,"5,81%"
BBVJ11,Aplicação em 12 meses,"R$ 50.000,00"
BBVJ11,Montante final na POUPANÇA,N/A
BBVJ11,Montante final no FUNDO,N/A
BBVJ11,Rendimento (ISENTO DE IR) no FUNDO,N/A
BBVJ11,Valorização patrimonial no fundo,N/A
BBVJ11,BBVJ11 X POUPANÇA,N/A
BCFF11,Aplicação em 12 meses,"R$ 50.000,00"
