Ticker,Razão Social,CNPJ,Nome Pregão,Segmento,Cotas emitidas,Descrição,Link de Acesso,Público alvo,Segmento ANBIMA,Número de cotistas,Tipo de gestão,Prazo de duração,Tipo ANBIMA,Administrador,CNPJ Administrador,Telefone Administrador,Email Administrador,Site Administrador,Data de constituição do fundo,Valor inicial da cota (IPO),Registro na CVM
AAGR11,ASSET BANK AGRONEGÓCIOS FIAGRO IMOBILIARIO,44.585.001/0001-10,FIAGRO AAGR,Indefinido,5.000.000,,https://www.fundsexplorer.com.br/funds/AAGR11,,,,,,,,,,,,,,
AATH11,ATHON ENERGIA ESG I FDO INV PART EM INFRAESTRUTURA,40.884.088/0001-76,FIP ATHON,Indefinido,,,https://www.fundsexplorer.com.br/funds/AATH11,,,,,,,,,,,,,,
AAZQ11,AZ QUEST SOLE FDO DE INV,44.625.826/0001-11,FIAGRO AAZQ,Indefinido,24.037.284,,https://www.fundsexplorer.com.br/funds/AAZQ11,Investidores em Geral,Títulos e Valores Mobiliários,29.430,Ativa,Indeterminado,Títulos e Valores Mobiliários,XP INVESTIMENTOS CCTVM S.A.,02.332.886/0001-04,(11) 3027-2237,adm.fundos.estruturados@xpi.com.br,www.xpi.com.br,,,
ABCP11,Grand Plaza Shopping,01.201.140/0001-90,Grand Plaza Shopping,Shoppings,4.709.082,"ABCP11: Grand Plaza Shopping        


ABCP11 – Um FII De Shopping


ABCP11 é um fundo imobiliário do
tipo tijolo. O foco dos seus investimentos está majoritariamente em
propriedades de shoppings.

Fundos de tijolo como
 ABCP11

possuem essa característica pelo motivo de obterem imóveis físicos, podendo o
fundo rentabilizar através da compra ou construção para gerar aluguéis ou
também ganhar com a venda dos imóveis.

O 
FII Grand Plaza Shopping 
é
um fundo de investimento imobiliário do tipo ANBIMA renda gestão passiva de
segmento shoppings. É constituído sob a forma de condomínio fechado, com prazo
de duração indeterminado, sendo regido por seu regulamento e pelas disposições
legais que lhe forem aplicáveis.


Características do fundo ABCP11


O 
Fundo Imobiliário Grand
Plaza Shopping
 foi constituído em maio de 1996 e tem por objeto o
desenvolvimento e a comercialização de empreendimentos, por meio da aquisição
de imóveis destinados à revenda ou incorporações imobiliárias, para posterior
alienação, locação ou arrendamento.

Limitado a 25% do patrimônio
líquido do fundo, a parcela não aplicada nos ativos imobiliários poderá ser
aplicada em ativos de renda fixa, públicos ou privados.

As cotas do ABCP11 são destinadas
a investidores em geral, pessoas físicas e jurídicas, fundos de investimento,
ou quaisquer outros veículos de investimento, domiciliados ou com sede no
Brasil ou no exterior.

O fundo tem por objetivo
fundamental, no longo prazo, a obtenção de ganho de capital com geração de
renda mediante a exploração dos ativos, e, consequentemente, proporcionar a
seus cotistas a valorização de suas cotas.

É administrado pela Rio Bravo
Investimentos DTVM Ltda.

As cotas do 
FII Grand Plaza
Shopping
 são negociadas com o código (ticker) 
ABCP11
 no mercado de
bolsa da B3 - Brasil, Bolsa e Balcão.

Sua taxa de administração é de 0,10%
ao ano sobre o patrimônio líquido com mínimo de R$ 51.500,00 mensais corrigido
pelo IGPM.

A política
de distribuição de 
rendimentos do ABCP11 
deve distribuir a seus
cotistas, no mínimo, 95% dos resultados auferidos, apurados segundo o regime de
caixa.

Os lucros auferidos mensalmente
pelo fundo, serão distribuídos aos cotistas até o 5º dia útil do mês
imediatamente subsequente ao de referência, a título de antecipação dos lucros
do semestre a serem distribuídos.

Farão jus aos lucros referidos
acima os titulares de cotas do fundo que estiverem registrados no sistema de
escrituração no dia da divulgação da distribuição de rendimentos.


FII Grand Plaza Shopping – ABCP11


As
aplicações realizadas no fundo não contam com garantia do Administrador ou do
Fundo Garantidor de Crédito, não podendo o administrador ser responsabilizado
por eventuais depreciações dos ativos que compõem a carteira do fundo.

Portanto, é recomendado a leitura
cuidadosa do prospecto e do regulamento do fundo de investimento pelo
investidor ao aplicar seus recursos.

Para conferir outros dados e
indicadores do 
ABCP11
, continue navegando em nosso site. Temos todas as
informações necessárias disponíveis aqui.",https://www.fundsexplorer.com.br/funds/ABCP11,Investidores em Geral,Shoppings,15.924,Passiva,Indeterminado,Renda,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,72.600.026/0001-81,(11) 3509-6600,fundosimobiliarios@riobravo.com.br,www.riobravo.com.br,17/05/1996,,
AEFI11,AESAPAR,13.873.457/0001-52,AESAPAR,Educacional,2.355.022,"AEFI11: FII AESAPAR        

        O Fundo tem por objeto a realização de investimentos imobiliários de longo prazo, por meio da aquisição,

(i) através da formalização dos Instrumentos de Aquisição, construção e/ou eventual adaptação de Ativos Alvo para posterior locação à AELTDA, mediante a celebração de Contratos de Locação Atípica;
(ii) de Títulos e Valores Mobiliários que tenham a AELTDA e/ou a AESAPAR como devedora, coobrigada e/ou fiadora; ou ainda,
(iii) a realização de investimentos em Ativos de Investimento, observados os termos e condições da legislação e regulamentação vigentes. Os Ativos Alvo que venham a ser adquiridos pelo Fundo deverão ser objeto de prévio Laudo de Avaliação, sendo certo que os Títulos e Valores Mobiliários poderão ser adquiridos por qualquer valor menor ou igual ao seu respectivo valor de face, acrescido da remuneração, calculada pro rata temporis desde a data de emissão ou data da ultima amortização, até a data da efetiva aquisição pelo Fundo.",https://www.fundsexplorer.com.br/funds/AEFI11,Investidores em Geral,Outros,13.065,Ativa,Indeterminado,Renda,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,72.600.026/0001-81,(11) 3509-6600,fundosimobiliarios@riobravo.com.br,www.riobravo.com.br,,,
AFCR11,,,,Papéis,,"AFCR11: FII AFINVCR        


AFCR11: AF
Invest FII Recebíveis Imobiliários


AFCR11 é
um fundo imobiliário do tipo papel, ou seja, seus investimentos são destinados
principalmente nas aplicações em títulos e valores mobiliários.

Fundos
com o perfil do 
AFCR11
 investem de forma predominante em títulos de dívida
imobiliária e outros valores mobiliários. Dentre os títulos permitidos, os mais
comuns são os certificados de recebíveis imobiliários (CRI).

O 
AF
Invest FII Recebíveis Imobiliários
 é um fundo de investimento imobiliário do tipo híbrido
gestão ativa do segmento híbrido. É constituído sob a forma de condomínio
fechado, com prazo de duração indeterminado, regido pelas disposições legais e
regulamentares que lhe forem aplicáveis.


Características
do FII AFCR11


Destinado a investidores em geral, o 
Fundo Imobiliário 
AF
Invest Recebíveis Imobiliários 
foi constituído em
outubro de 2018 com o objetivo de realizar investimentos imobiliários
por meio da aquisição de certificados de recebíveis imobiliários, letras hipotecárias,
letras de crédito imobiliário, letras imobiliárias garantidas e cotas de outros
fundos de investimento imobiliário (Ativos alvo).

Caso os recursos do fundo ainda não estejam alocados nos
ativos alvo, os mesmos podem ser aplicados em ativos de liquidez, sendo títulos
de renda fixa públicos ou privados, operações compromissadas lastreadas em
títulos públicos e cotas de fundos de investimento de renda fixa.

Excepcionalmente, e sem prejuízo da presente política de
investimento, o fundo poderá deter imóveis, direitos reais sobre imóveis e
participações em sociedades imobiliárias, além de outros ativos financeiros
relacionados a atividades imobiliárias.

O AFCR11 não tem o objetivo de aplicar seus recursos em
ativos alvo ou ativos de liquidez específicos, não existindo, dessa forma,
requisitos ou critérios específicos ou determinados de diversificação.

O fundo é administrado pelo CM Capital Markets DTVM
Ltda., instituição com sede na cidade de São Paulo
devidamente credenciada pela Comissão de Valores Mobiliários (CVM) para
administrar recursos de terceiros.

As cotas do 
AF Invest Recebíveis
Imobiliários 
possuem o nome de pregão FII
AFINVCR e
 
são negociadas com o código (ticker) AFCR11 no mercado da B3 -
Brasil, Bolsa e Balcão.

Sua taxa de administração, gestão, controladoria e
escrituração é de 1,00% ao ano sobre patrimônio líquido ou valor de mercado do
fundo se o fundo fizer parte de índice de mercado (IFIX). Performance: 20% do
que exceder 110% do CDI.

A política de distribuição de 
rendimentos do AFCR11 
é estabelecida em
distribuir, no mínimo, 95% dos resultados auferidos, apurados segundo o regime
de caixa.

Seus rendimentos poderão ser
distribuídos aos cotistas, mensalmente, até o 10º dia útil do mês subsequente
ao do recebimento dos recursos, a título de antecipação dos resultados do
semestre a serem distribuídos.

O fundo poderá realizar operações com derivativos em
mercados regulamentados, na modalidade com garantia, exclusivamente para fins
de proteção patrimonial e desde que a exposição seja sempre, no máximo,
correspondente ao valor do seu patrimônio líquido, nos termos do regulamento.

O objeto do AFCR11 e sua política de investimento (conforme
definida no regulamento), não poderão ser alterados sem prévia deliberação da
assembleia geral de cotistas, tomada de acordo com o quórum estabelecido.


AF Invest
Recebíveis Imobiliários (Papel/CRI)


As
aplicações realizadas no fundo não contam com garantia do Administrador ou do
Fundo Garantidor de Crédito, não podendo o administrador ser responsabilizado
por eventuais depreciações dos ativos que compõem a carteira do fundo.

Portanto,
é recomendado a leitura cuidadosa do prospecto e do regulamento do fundo de
investimento pelo investidor ao aplicar seus recursos.

Para
conferir outros dados e indicadores do 
AFCR11
, continue navegando
em nosso site. Temos todas as informações necessárias disponíveis aqui.",https://www.fundsexplorer.com.br/funds/AFCR11,,,,,,,,,,,,,,
AFHI11,AF INVEST CRI,36.642.293/0001-58,FII AFHI CRI,Papéis,4.555.618,,https://www.fundsexplorer.com.br/funds/AFHI11,Investidores em Geral,Títulos e Valores Mobiliários,40.791,Ativa,Indeterminado,Títulos e Valores Mobiliários,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59.281.253/0001-23,55 11 3383-3102,ri.fundoslistados@btgpactual.com,www.btgpactual.com,,,
AFOF11,,,,Fundo de Fundos,,"AFOF11: ALIANZA FOF        


AFOF11:
Alianza FOFII FII


AFOF11
é um fundo imobiliário do tipo Fundo de fundos (FOF). Seus investimentos são
destinados com prioridade em aquisições de cotas de outros fundos imobiliários.

Fundo
de fundos como o 
AFOF11
 possuem o perfil de ser bem
diversificado. O portfólio de um FOF se divide em uma variedade de segmentos
imobiliários e fundos distintos.

O 
Alianza
FOFII FII
 é um fundo de investimento
imobiliário de títulos e valores mobiliários gestão ativa de segmento títulos e
valores mobiliários. É constituído sob a forma de condomínio fechado, tem prazo
de duração indeterminado e é regido por seu regulamento e pelas disposições
legais que lhe forem aplicáveis.


Características
do FII AFOF11


Destinado
a investidores em geral, o 
Fundo
Imobiliário 
Alianza FOFII FII 
foi
constituído em setembro de 2019 com o objetivo de aplicar em ativos
alvo, sendo primordialmente cotas de FII, objetivando a valorização e a
rentabilidade no longo prazo por meio, auferindo rendimentos advindos destes,
bem como auferir ganho de capital a partir da negociação dos ativos.

A parcela do patrimônio que,
temporariamente, não estiver aplicada em ativos alvo, deverá ser aplicada em
ativos financeiros, inclusive para fins de permitir o pagamento das despesas
ordinárias, das despesas extraordinárias e dos encargos previstos em seu
regulamento.

O
fundo é administrado pelo BRL Trust DTVM S.A., instituição com sede
na cidade de São Paulo e devidamente credenciada pela Comissão de Valores
Mobiliários (CVM) para administrar recursos de terceiros.

Sua
taxa de administração é de 0,80% ao ano sobre
patrimônio líquido ou valor de mercado do fundo se o fundo fizer parte de
índice de mercado (IFIX). Essa taxa engloba os pagamentos devidos ao
Gestor, ao Custodiante e ao Escriturador. Taxa de Performance: 20% do que
exceder a variação do IFIX, apurada semestralmente.

A
política de distribuição de 
rendimentos do AFOF11 
é
estabelecida em distribuir, no mínimo, 95% dos resultados auferidos, apurados
segundo o regime de caixa.

Os
rendimentos poderão ser distribuídos aos cotistas, mensalmente, sempre até o
15º dia útil do mês subsequente ao do recebimento dos recursos, a título de
antecipação dos resultados do semestre a serem distribuídos.

O objeto do fundo e sua política
de investimento não poderão ser alterados sem prévia deliberação da assembleia
geral, tomada de acordo com o quórum estabelecido em seu regulamento.

O fundo não poderá realizar
operações com derivativos, exceto quando tais operações forem realizadas
exclusivamente para fins de proteção patrimonial e desde que a exposição seja
sempre, no máximo, o valor do patrimônio líquido.


Alianza FOFII
FII (Fundo de Fundos/FOF)


As
aplicações realizadas no fundo não contam com garantia do Administrador ou do
Fundo Garantidor de Crédito (FGC), não podendo o administrador ser
responsabilizado por eventuais depreciações dos ativos que compõem a carteira
do fundo.

Portanto,
é recomendado a leitura cuidadosa do prospecto e do regulamento do fundo de
investimento pelo investidor ao aplicar seus recursos.

Para
conferir outros dados e indicadores do 
AFOF11
, continue navegando em
nosso site. Temos todas as informações necessárias disponíveis aqui.",https://www.fundsexplorer.com.br/funds/AFOF11,,,,,,,,,,,,,,
AGCX11,Rio Bravo Renda Varejo,15.576.907/0001-70,Rio Bravo Renda Varejo,Agências de Bancos,12.485.334,"AGCX11: FII AG CAIXA        

        O Fundo é um fundo de investimento imobiliário constituído sob a forma de condomínio fechado, o que implica que o resgate das Cotas somente se dará ao término do seu prazo de duração.",https://www.fundsexplorer.com.br/funds/AGCX11,Investidores em Geral,Outros,63.287,Ativa,Indeterminado,Renda,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,72.600.026/0001-81,(11) 3509-6600,fundosimobiliarios@riobravo.com.br,www.riobravo.com.br,,,
AGRX11,,,,Outros,,,https://www.fundsexplorer.com.br/funds/AGRX11,,,,,,,,,,,,,,
