Ticker,Aplicacao_12_meses,Ativo_vs_Poupanca,Montante_final_fundo,Montante_final_poupanca,Rendimento_isento_IR_fundo,Valorizacao_patrimonial_fundo
AAGR11,50000.0,,54921.42,53000.0,3243.1,51678.32
AATH11,50000.0,,,53000.0,,58118.4
AAZQ11,50000.0,,51176.83,53000.0,8866.77,42310.06
ABCP11,50000.0,,55142.32,53000.0,4762.84,50379.48
AEFI11,50000.0,,,53000.0,,50000.0
AFCR11,50000.0,,,,,
AFHI11,50000.0,,57687.16,53000.0,6078.48,51608.68
AFOF11,50000.0,,,,,
AGCX11,50000.0,,,53000.0,,50000.0
AGRX11,50000.0,,,53000.0,,48815.12
AIEC11,50000.0,,47838.54,53000.0,8027.52,39811.02
AJFI11,50000.0,,45958.23,53000.0,3831.98,42126.25
ALMI11,50000.0,,43457.59,53000.0,476.35,42981.23
ALMI11B,50000.0,,,,,
ALZC11,50000.0,,57100.5,53000.0,2418.0,54682.5
ALZR11,50000.0,,52928.41,53000.0,4723.16,48205.25
AMAZ11,50000.0,,,,,
ANCR11B,50000.0,,47220.37,53000.0,636.24,46584.13
APTO11,50000.0,,54402.86,53000.0,5782.7,48620.16
APXM11,50000.0,,45737.56,53000.0,3201.07,42536.49
APXR11,50000.0,,,53000.0,,50505.0
APXU11,50000.0,,,,,
AQLL11,50000.0,,,53000.0,,50000.0
ARCT11,50000.0,,,53000.0,,40354.4
ARFI11B,50000.0,,,53000.0,,50000.0
AROA11,50000.0,,50639.95,53000.0,3494.95,47145.0
ARRI11,50000.0,,57873.61,53000.0,6628.8,51244.81
ARXD11,50000.0,,57522.61,53000.0,6162.75,51359.86
ASMT11,50000.0,,38620.22,53000.0,1039.5,37580.72
ASRF11,50000.0,,54433.56,53000.0,1025.31,53408.24
ATCR11,50000.0,,,,,
ATSA11,50000.0,,51291.62,53000.0,642.24,50649.38
ATSA11B,50000.0,,,,,
ATWN11,50000.0,,,,,
AURB11,50000.0,,45649.2,53000.0,642.4,45006.8
AZIN11,50000.0,,,,,
AZPL11,50000.0,,,,,
BARI11,50000.0,,51936.25,53000.0,5481.81,46454.44
BBFI11B,50000.0,,60582.15,53000.0,12381.44,48200.71
BBFO11,50000.0,,54784.69,53000.0,5309.64,49475.05
BBGO11,50000.0,,51239.49,53000.0,6032.9,45206.59
