Ticker,Periodo,Aluguéis,Ativo total,CRIs,Caixa,Disponibilidades,FIIs,Imóveis,Outros,Outros val. pagar,Passivo total,Patrimônio líquido,Rend. a distribuir,Renda fixa,Taxa administração,Taxa performance,Total investido,Títulos privados,Títulos públicos,Valores a receber,Venda de imóveis
AAZQ11,1/2023,0,235.059,213.950,0,7.305,0,0,13.803,30,3.880,231.179,3.606,7.305,244,0,227.753,0,0,0,0
AAZQ11,1/2024,0,234.673,148.616,0,6.201,4.530,0,75.327,31,3.160,231.513,2.884,6.201,244,0,228.472,0,0,0,0
AAZQ11,10/2023,0,235.622,153.109,0,21.497,0,0,61.010,28,3.188,232.434,2.884,21.497,234,41,214.120,0,0,5,0
AAZQ11,11/2023,0,235.419,170.535,0,4.252,4.841,0,55.791,26,3.404,232.015,2.884,4.252,223,271,231.166,0,0,1,0
AAZQ11,12/2022,0,233.019,153.405,0,74.565,0,0,5.049,231,1.931,231.087,1.683,74.565,18,0,158.454,0,0,0,0
AAZQ11,12/2023,0,235.309,153.260,0,411,4.688,0,76.950,25,3.487,231.822,2.884,411,222,355,234.898,0,0,0,0
AAZQ11,2/2023,0,234.426,213.093,0,7.478,0,0,13.855,37,3.362,231.065,3.125,7.478,199,0,226.949,0,0,0,0
AAZQ11,2/2024,0,233.994,148.867,0,26.377,4.352,0,54.399,42,3.137,230.858,2.884,26.377,210,0,207.618,0,0,0,0
AAZQ11,3/2023,0,235.235,222.933,0,4.724,0,0,7.578,275,4.162,231.073,3.606,4.724,20,261,230.511,0,0,0,0
AAZQ11,3/2024,0,233.840,155.031,0,505,4.475,0,73.738,36,3.142,230.698,2.884,505,221,0,233.244,0,0,90,0
AAZQ11,4/2023,0,234.486,204.870,0,22.051,0,0,7.566,14,3.840,230.647,3.365,22.051,199,261,212.436,0,0,0,0
AAZQ11,4/2024,0,229.811,142.953,0,3.946,4.302,0,76.509,30,2.938,226.873,2.665,3.946,243,0,223.764,0,0,2.101,0
AAZQ11,5/2023,0,234.245,188.740,0,37.930,0,0,7.572,16,3.750,230.496,3.125,37.930,243,365,196.312,0,0,3,0
AAZQ11,5/2024,0,229.688,140.854,0,5.775,4.283,0,76.648,34,2.928,226.760,2.665,5.775,228,0,221.785,0,0,2.128,0
AAZQ11,6/2023,0,234.461,174.813,0,9.420,0,0,50.223,18,3.135,231.327,2.404,9.420,232,481,225.036,0,0,5,0
AAZQ11,6/2024,0,211.509,137.446,0,3.543,4.184,0,64.210,16,2.865,208.644,2.644,3.543,205,0,205.840,0,0,2.127,0
AAZQ11,7/2023,0,234.574,179.265,0,3.758,0,0,51.546,21,3.180,231.394,2.884,3.758,233,41,230.811,0,0,4,0
AAZQ11,7/2024,0,211.411,120.297,0,12.578,4.273,0,72.141,25,2.539,208.872,2.284,12.578,230,0,196.710,0,0,2.123,0
AAZQ11,8/2023,0,235.429,176.073,0,8.714,0,0,50.636,24,3.205,232.223,2.884,8.714,255,41,226.709,0,0,5,0
AAZQ11,9/2023,0,230.485,160.973,0,14.543,0,0,54.964,21,3.170,227.316,2.884,14.543,223,41,215.937,0,0,5,0
ABCP11,1/2017,6.177,691.988,0,785,10.269,0,674.020,0,1.556,7.432,684.556,5.819,9.484,57,0,674.020,0,0,7.698,0
ABCP11,1/2018,6.690,791.750,0,10,9.411,0,774.051,0,213,7.116,784.634,6.837,9.401,65,0,774.051,0,0,8.288,0
ABCP11,1/2019,7.001,914.534,0,6,12.641,0,894.848,0,176,9.351,905.184,9.099,12.636,75,0,894.848,0,0,7.045,0
ABCP11,1/2020,10.098,1.049.043,0,11,16.936,0,1.021.481,0,1.345,11.595,1.037.448,10.163,16.925,86,0,1.021.481,0,0,10.625,0
ABCP11,1/2021,12.706,1.084.739,0,8,14.798,0,1.056.730,0,1.536,9.164,1.075.575,7.538,14.790,90,0,1.056.730,0,0,13.211,0
ABCP11,1/2022,15.978,1.131.061,0,10,20.386,0,1.093.309,0,1.302,11.503,1.119.558,10.114,20.376,86,0,1.093.309,0,0,17.366,0
ABCP11,1/2023,5.579,435.042,0,6,7.684,0,420.946,0,1.595,4.125,430.917,2.433,7.678,97,0,420.946,0,0,6.412,0
ABCP11,1/2024,5.848,481.481,0,5,8.694,0,465.436,0,331,4.391,477.090,3.964,8.689,97,0,465.436,0,0,7.351,0
ABCP11,10/2017,6.463,687.810,0,575,5.801,0,674.020,0,213,5.156,682.655,4.885,5.225,57,0,674.020,0,0,7.989,0
ABCP11,10/2018,6.733,789.426,0,8,8.548,0,774.051,0,213,5.477,783.949,5.203,8.540,61,0,774.051,0,0,6.827,0
ABCP11,10/2019,10.715,918.542,0,6,12.744,0,894.848,0,1.697,7.787,910.755,6.010,12.738,81,0,894.848,0,0,10.950,0
ABCP11,10/2020,11.787,1.079.601,0,6,11.023,0,1.056.263,0,1.475,5.923,1.073.678,4.362,11.016,86,0,1.056.263,0,0,12.316,0
ABCP11,10/2021,16.733,1.090.704,0,10,15.263,0,1.056.263,0,1.512,7.915,1.082.789,6.320,15.253,83,0,1.056.263,0,0,19.179,0
ABCP11,10/2022,16.066,1.131.726,0,10,20.668,0,1.093.309,0,1.626,9.142,1.122.585,7.422,20.658,93,0,1.093.309,0,0,17.750,0
ABCP11,10/2023,5.548,435.765,0,5,7.002,0,420.946,0,344,3.359,432.406,2.919,6.996,97,0,420.946,0,0,7.817,0
ABCP11,11/2017,6.638,688.218,0,1.327,6.017,0,674.020,0,213,5.151,683.067,4.881,4.690,57,0,674.020,0,0,8.181,0
ABCP11,11/2018,7.113,911.068,0,8,9.068,0,894.848,0,213,5.740,905.328,5.509,9.060,18,0,894.848,0,0,7.152,0
ABCP11,11/2019,10.819,1.045.508,0,5,12.703,0,1.021.481,0,1.497,7.595,1.037.912,6.011,12.698,87,0,1.021.481,0,0,11.324,0
ABCP11,11/2020,11.870,1.080.195,0,6,11.753,0,1.056.263,0,1.557,6.619,1.073.575,4.973,11.747,90,0,1.056.263,0,0,12.179,0
ABCP11,11/2022,15.976,1.130.276,0,10,21.562,0,1.090.903,0,1.592,9.686,1.120.590,8.000,21.552,93,0,1.090.903,0,0,17.811,0
ABCP11,11/2023,5.699,436.029,0,5,7.253,0,420.946,0,337,3.352,432.677,2.918,7.248,97,0,420.946,0,0,7.830,0
ABCP11,12/2017,9.669,791.913,0,379,6.626,0,774.051,0,213,8.650,783.263,8.371,6.247,66,0,774.051,0,0,11.236,0
ABCP11,12/2018,10.195,914.572,0,7,8.354,0,894.848,0,176,7.091,907.480,6.844,8.347,71,0,894.848,0,0,11.370,0
ABCP11,12/2019,14.126,1.048.888,0,11,12.322,0,1.021.481,0,1.573,7.689,1.041.199,6.013,12.311,104,0,1.021.481,0,0,15.085,0
