Ticker,Trimestre,% despesas,% em caixa,Div. Yield,Inadimplência,Negócios/dia,P/VP,Patrimônio,Qnt. cotas,Qnt. cotistas,VP por cota,Vacância,Valor merc.,Volume diário
AAZQ11,1T2023,"0,43%","2,04%","6,32%",0%,0,"1,03","231,07 M","24,0 M",8.227,"9,61",0%,"237,73 M","0,00"
AAZQ11,2T2023,"0,41%","4,07%","10,71%",0%,3.368,"1,01","231,33 M","24,0 M",14.565,"9,62",0%,"233,40 M","686,13 K"
AAZQ11,2T2024,"0,35%","1,70%","19,39%",0%,4.971,"0,86","208,64 M","24,0 M",27.954,"8,68",0%,"179,56 M","1,11 M"
AAZQ11,3T2023,"0,32%","6,40%","15,09%",0%,5.702,"0,99","227,32 M","24,0 M",19.556,"9,46",0%,"225,95 M","803,89 K"
AAZQ11,4T2022,"0,29%","32,27%","0,92%",0%,1.994,"1,03","231,09 M","24,0 M",4.514,"9,61",0%,"237,73 M","308,66 K"
AAZQ11,4T2023,"0,44%","0,18%","18,51%",0%,5.553,"0,94","231,82 M","24,0 M",23.739,"9,64",0%,"218,98 M","955,78 K"
ABCP11,1T2017,"0,04%","1,21%","2,87%",5%,21,"1,43","680,61 M","61,0 M",735,"11,15",1%,"970,20 M","20,00 K"
ABCP11,1T2018,"0,04%","1,03%","9,36%",9%,224,"1,27","784,93 M","61,0 M",5.092,"12,86",2%,"1,00 B","464,18 K"
ABCP11,1T2019,"0,05%","1,15%","7,26%",10%,698,"1,47","905,33 M","12,2 M",23.764,"74,18",1%,"1,33 B","500,91 K"
ABCP11,1T2020,"0,03%","1,22%","9,26%",1%,342,"0,97","1,04 B","12,2 M",21.556,"85,43",1%,"1,01 B","1,54 M"
ABCP11,1T2021,"0,03%","0,81%","4,86%",21%,260,"0,89","1,08 B","12,2 M",20.012,"88,31",12%,"956,78 M","264,08 K"
ABCP11,1T2022,"0,06%","1,76%","9,51%",5%,223,"0,79","1,12 B","12,2 M",19.046,"91,89",8%,"889,66 M","102,60 K"
ABCP11,1T2024,"0,07%","1,58%","9,01%",1%,129,"0,77","477,38 M","4,7 M",16.751,"101,37",2%,"366,13 M","74,28 K"
ABCP11,2T2017,"0,04%","0,80%","4,96%",7%,13,"1,48","678,35 M","61,0 M",837,"11,12",2%,"1,01 B","14,91 K"
ABCP11,2T2018,"0,03%","1,02%","10,76%",8%,759,"1,12","781,79 M","61,0 M",6.547,"12,81",2%,"878,68 M","478,63 K"
ABCP11,2T2019,"0,05%","1,21%","7,30%",10%,628,"1,47","906,57 M","12,2 M",26.115,"74,29",1%,"1,33 B","423,72 K"
ABCP11,2T2020,"0,04%","1,19%","7,39%",10%,241,"1,03","1,04 B","12,2 M",21.115,"85,23",2%,"1,08 B","250,26 K"
ABCP11,2T2021,"0,07%","1,37%","6,28%",9%,263,"0,78","1,08 B","12,2 M",19.167,"88,50",12%,"843,04 M","180,84 K"
ABCP11,2T2022,"0,04%","1,71%","11,24%",5%,207,"0,76","1,12 B","12,2 M",19.340,"91,77",14%,"850,61 M","97,82 K"
ABCP11,2T2023,"0,14%","1,48%","8,95%",3%,160,"0,78","432,16 M","4,7 M",18.045,"91,77",6%,"336,98 M","64,12 K"
ABCP11,3T2017,"0,08%","0,90%","6,42%",8%,23,"1,65","683,68 M","61,0 M",1.041,"11,20",1%,"1,13 B","24,85 K"
ABCP11,3T2018,"0,03%","1,05%","9,58%",10%,452,"1,26","785,32 M","61,0 M",11.289,"12,87",1%,"988,51 M","522,99 K"
ABCP11,3T2019,"0,04%","1,37%","8,58%",1%,647,"1,26","909,58 M","12,2 M",22.332,"74,53",1%,"1,15 B","806,67 K"
ABCP11,3T2020,"0,03%","0,91%","6,16%",21%,283,"0,93","1,04 B","12,2 M",21.397,"85,38",2%,"973,26 M","292,83 K"
ABCP11,3T2021,"0,04%","1,34%","8,14%",4%,235,"0,78","1,08 B","12,2 M",19.428,"88,62",8%,"845,12 M","112,69 K"
ABCP11,3T2022,"0,03%","1,78%","10,77%",2%,283,"0,80","1,12 B","12,2 M",19.564,"91,92",4%,"898,32 M","104,75 K"
ABCP11,3T2023,"0,08%","1,62%","9,33%",4%,131,"0,73","432,47 M","4,7 M",17.587,"91,84",2%,"316,64 M","64,86 K"
ABCP11,4T2017,"0,03%","0,85%","9,65%",6%,179,"1,25","783,26 M","61,0 M",2.711,"12,84",1%,"981,80 M","2,66 M"
