Ticker,Trimestre,Lucro líquido,Outras desp/receitas,Res. imóveis estoque,Res. imóveis renda,Resultado TVM,Resultado financeiro
AAZQ11,1T2023,10.345,-999,0,0,10.340,1.004
AAZQ11,2T2023,9.148,-959,0,0,8.935,1.172
AAZQ11,2T2024,-14.121,-729,0,0,-13.489,97
AAZQ11,3T2023,9.804,-721,0,0,10.356,169
AAZQ11,4T2022,2.346,-677,0,0,1.087,1.936
AAZQ11,4T2023,7.999,-1.016,0,0,8.866,149
ABCP11,1T2017,14.404,-242,0,14.435,0,211
ABCP11,1T2018,15.262,-297,0,15.458,0,101
ABCP11,1T2019,16.770,-432,0,17.063,0,140
ABCP11,1T2020,17.473,-351,0,17.708,0,116
ABCP11,1T2021,13.266,-351,0,13.571,0,46
ABCP11,1T2022,19.693,-646,0,19.954,0,385
ABCP11,1T2024,7.937,-344,0,8.088,0,194
ABCP11,2T2017,14.963,-279,0,15.072,0,170
ABCP11,2T2018,14.955,-269,0,15.123,0,101
ABCP11,2T2019,18.439,-451,0,18.756,0,134
ABCP11,2T2020,3.589,-449,0,3.951,0,88
ABCP11,2T2021,13.293,-809,0,14.023,0,79
ABCP11,2T2022,20.199,-467,0,20.182,0,484
ABCP11,2T2023,7.402,-586,0,7.797,0,190
ABCP11,3T2017,15.216,-533,0,15.663,0,86
ABCP11,3T2018,16.257,-238,0,16.363,0,132
ABCP11,3T2019,18.399,-336,0,18.588,0,147
ABCP11,3T2020,5.474,-317,0,5.765,0,26
ABCP11,3T2021,18.186,-389,0,18.413,0,162
ABCP11,3T2022,21.374,-351,0,21.167,0,558
ABCP11,3T2023,7.837,-351,0,7.954,0,234
ABCP11,4T2017,118.796,-233,0,118.958,0,71
ABCP11,4T2018,139.661,-305,0,139.859,0,107
ABCP11,4T2019,149.558,-336,0,149.766,0,129
ABCP11,4T2020,47.734,-693,0,48.387,0,40
ABCP11,4T2021,60.747,-535,0,61.020,0,262
ABCP11,4T2022,8.568,-15.230,0,23.217,0,581
ABCP11,4T2023,79.672,-440,0,79.888,0,225
AFHI11,1T2021,-815,-138,0,0,-864,187
AFHI11,1T2022,4.939,-540,0,0,5.376,103
AFHI11,1T2023,10.369,-786,0,0,10.720,435
AFHI11,1T2024,7.985,-1.007,0,0,8.296,696
AFHI11,2T2021,5.334,-364,0,0,5.328,370
AFHI11,2T2022,6.119,-502,0,0,6.201,420
AFHI11,2T2023,13.768,-800,0,0,14.183,386
AFHI11,2T2024,6.589,-1.081,0,0,7.197,473
AFHI11,3T2021,5.334,-364,0,0,5.328,370
AFHI11,3T2022,7.078,-205,0,0,6.494,789
AFHI11,3T2023,6.950,-860,0,0,7.352,459
AFHI11,4T2021,8.480,-472,0,0,8.864,88
AFHI11,4T2022,7.155,-402,0,0,7.102,456
AFHI11,4T2023,11.781,-912,0,0,12.200,494
AGRX11,1T2023,2.232,-314,0,0,2.491,55
AGRX11,1T2024,4.949,-533,0,0,4.855,627
AGRX11,2T2022,676,-115,0,0,359,432
AGRX11,2T2023,4.563,-565,0,0,4.886,241
AGRX11,2T2024,5.828,-850,0,0,6.046,631
AGRX11,3T2023,4.066,-324,0,0,3.820,570
AGRX11,4T2022,3.472,-315,0,0,3.437,350
AGRX11,4T2023,7.845,-980,0,0,7.715,1.110
AIEC11,1T2021,8.726,-555,0,9.221,-18,78
AIEC11,1T2022,9.794,-2.041,0,11.812,0,24
AIEC11,1T2023,11.667,-2.255,0,13.747,0,174
AIEC11,1T2024,12.350,-650,0,12.742,0,259
AIEC11,2T2022,10.746,-1.507,0,12.110,0,143
AIEC11,2T2023,12.978,-1.046,0,13.821,0,203
AIEC11,2T2024,11.972,-845,0,12.525,0,292
AIEC11,3T2021,10.337,-557,0,10.712,0,182
AIEC11,3T2023,12.400,-726,0,12.850,0,276
AIEC11,4T2022,-24.567,-940,0,-23.799,0,172
AIEC11,4T2023,-42.823,-2.458,0,-40.402,0,37
AJFI11,2T2024,-2.284,-842,0,-1.820,14,365
AJFI11,4T2023,4.066,-365,0,2.229,0,2.201
ALMI11,1T2017,3.928,-411,0,4.185,0,154
ALMI11,1T2018,-320,-578,0,218,0,40
ALMI11,1T2019,-52,-295,0,150,0,94
ALMI11,1T2020,178,-610,0,714,0,74
ALMI11,1T2021,8.193,-697,0,8.876,0,15
ALMI11,1T2022,-631,-631,0,-108,0,108
ALMI11,1T2023,518,-727,0,1.135,0,110
ALMI11,1T2024,958,-867,0,1.638,0,188
ALMI11,2T2017,3.702,-1.139,0,4.535,0,306
ALMI11,2T2018,2.195,678,0,1.504,0,12
