Nome,CNPJ,Emissão,Série,Valor,Ticker,Ano
RB CAPITAL SECURITIZADORA S.A.,02.773.542/0001-22,60,1,"22.995.656,54",AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,12,2,"20.027.825,29",AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,11,1,"19.902.286,79",AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,9,1,"17.020.585,39",AAZQ11,2024
ECO SECURITIZADORA DIREITOS CRED AGRONEG,10.753.164/0001-43,313,1,"8.039.572,32",AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,25,1,"7.294.286,28",AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,17,1,"6.827.645,51",AAZQ11,2024
VIRGO COMPANHIA DE SECURITIZAÇÃO,08.769.451/0001-08,178,1,"6.622.333,11",AAZQ11,2024
ECO SECURITIZADORA DIREITOS CRED AGRONEG,10.753.164/0001-43,234,1,"5.591.971,07",AAZQ11,2024
CANAL COMPANHIA DE SECURITIZACAO,41.811.375/0001-19,53,1,"3.948.168,24",AAZQ11,2024
OCTANTE SECURITIZADORA S.A.,12.139.922/0001-63,36,1,"2.978.674,25",AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,35,2,"2.909.775,35",AAZQ11,2024
VIRGO COMPANHIA DE SECURITIZAÇÃO,08.769.451/0001-08,179,1,"2.551.860,42",AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,26,1,"2.122.556,36",AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,12,1,"2.002.448,74",AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,35,1,"1.986.031,26",AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,30,2,"856.455,03",AAZQ11,2024
VERT COMPANHIA SECURITIZADORA,43.737.117/0001-65,79,1,"836.640,01",AAZQ11,2024
ECO SECURITIZADORA DIREITOS CRED AGRONEG,10.753.164/0001-43,203,1,"585.979,53",AAZQ11,2024
RBCAPITALRES,02.773.542/0001-22,93,1,"584.073,19",AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,24,1,"486.357,93",AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,26,2,"380.357,09",AAZQ11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,137,1,"377.660,94",AAZQ11,2024
CANAL COMPANHIA DE SECURITIZACAO,41.811.375/0001-19,58,1,"240.272,45",AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,24,2,"216.399,75",AAZQ11,2024
CANAL COMPANHIA DE SECURITIZACAO,41.811.375/0001-19,58,2,"60.092,57",AAZQ11,2024
OPEA SECURITIZADORA S/A,02.773.542/0001-22,60,1,"22.989.629,61",AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,11,1,"22.775.247,89",AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,12,2,"20.029.729,86",AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,9,1,"17.022.106,09",AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,17,1,"16.934.179,65",AAZQ11,2023
VIRGO SECURITIZACAO,08.769.451/0001-08,178,1,"7.574.870,94",AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,26,1,"6.633.885,49",AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,26,1,"6.007.675,44",AAZQ11,2023
ECO SEC AGRO,10.753.164/0001-43,234,1,"5.606.524,56",AAZQ11,2023
True Securitizadora S.A.,12.130.744/0001-00,137,1,"5.378.283,44",AAZQ11,2023
VIRGO SECURITIZACAO,08.769.451/0001-08,179,1,"5.139.559,58",AAZQ11,2023
ECO SEC AGRO,10.753.164/0001-43,203,1,"3.380.235,94",AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,19,2,"3.098.541,39",AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,19,1,"3.078.656,05",AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,24,1,"2.136.973,00",AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,12,1,"2.002.645,58",AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,26,2,"1.170.789,04",AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,24,2,"917.077,73",AAZQ11,2023
OPEA SECURITIZADORA S/A,02.773.542/0001-22,93,1,"584.318,75",AAZQ11,2023
CANAL COMPANHIA DE SECURITIZACAO,41.811.375/0001-19,53,1,"499.053,44",AAZQ11,2023
CANAL COMPANHIA DE SECURITIZACAO,41.811.375/0001-19,58,2,"240.293,92",AAZQ11,2023
CANAL COMPANHIA DE SECURITIZACAO,41.811.375/0001-19,58,2,"60.097,94",AAZQ11,2023
CERES SEC (CRA02200EYY),41.534.746/0001-62,12,1,"35.026.907,14",AAZQ11,2022
CERES SEC (CRA02200EYX),41.534.746/0001-62,10,1,"31.086.715,66",AAZQ11,2022
RB CAPITAL SEC (CRA02200D4D),02.773.542/0001-22,60,única,"22.981.659,53",AAZQ11,2022
CERES SEC (CRA02200E76),41.534.746/0001-62,11,1,"22.821.210,39",AAZQ11,2022
CERES SEC (CRA02200D49),41.534.746/0001-62,9,1,"17.122.878,35",AAZQ11,2022
VERT CIA SEC (CRA022009KI),25.005.683/0001-09,79,única,"15.346.278,95",AAZQ11,2022
ECO SEC AGRO (CRA022008YH),10.753.164/0001-43,203,1,"5.010.585,20",AAZQ11,2022
ECO SEC AGRO (CRA022007VG),10.753.164/0001-43,195,única,"4.008.842,70",AAZQ11,2022
HABITASEC SECURITIZADORA S.A.,09.304.427/0001-58,35,1,"22.555.099,71",AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1,380,"16.609.623,30",AFHI11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4,315,"15.325.673,08",AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,264,1,"14.500.705,90",AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1,470,"14.455.221,81",AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,215,1,"13.996.707,35",AFHI11,2024
REIT SECURITIZADORA S.A.,13.349.677/0001-81,2,22,"13.655.551,43",AFHI11,2024
