Papel,Nome do fundo,CNPJ,Valor,Ticker,Ano
FGAA11,FGAA11,42.405.905/0001-91,"4.183.639,20",AAZQ11,2024
FGAA11,FG/AGRO FI NAS CAD PROD AGROINDUSTRIAIS - FIAGRO-IMOBILIÁRIO,42.405.905/0001-91,"4.688.049,60",AAZQ11,2023
RINV11,REAL INVESTOR FII,44.625.612/0001-45,"566.000,00",AFHI11,2023
RINV11,REAL INVESTOR FII,44.625.612/0001-45,"1.005.500,00",AFHI11,2022
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"295.084,62",AFHI11,2022
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
SNCI11,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"2.555.750,00",AFHI11,2021
,TISHMAN SPEYER RENDA CORPORATIVA FII,34.847.042/0001-84,"128.519.688,64",ALZR11,2024
,ALIANZA DIGITAL FII,38.293.862/0001-22,"53.117.240,54",ALZR11,2024
,FATOR VERITA MULTIESTRATEGIA FII,51.870.412/0001-13,"33.234.728,20",ALZR11,2024
,FATOR RENDA ESTRUTURADA FII,49.553.783/0001-20,"14.564.250,23",ALZR11,2024
,DEVANT PROPERTIES FII,42.922.127/0001-08,"13.963.203,82",ALZR11,2024
GGRC11,GGR COVEPI RENDA FII - RESPONSABILIDADE LIMITADA,26.614.291/0001-00,"9.635.545,92",ALZR11,2024
,TISHMAN SPEYER RENDA CORPORATIVA FII,34.847.042/0001-84,"128.324.600,00",ALZR11,2023
,ALIANZA DIGITAL REALTY FII,38.293.862/0001-22,"50.199.207,85",ALZR11,2023
,FATOR VERITA MULTIESTRATEGIA FII,51.870.412/0001-13,"37.765.000,00",ALZR11,2023
,FATOR RENDA ESTRUTURADA,49.553.783/0001-20,"15.000.000,00",ALZR11,2023
,DEVANT PROPERTIES FII,42.922.127/0001-08,"12.358.982,10",ALZR11,2023
,ALIANZA DIGITAL REALTY FII,38.293.862/0001-22,"50.673.688,00",ALZR11,2022
KNCR11,KINEA RENDIMENTOS IMOB.FII (ITAU),16.706.958/0001-32,"21.200.783,18",ALZR11,2022
,DAYCOVAL D235 FUNDO DE INVESTIMENT,42.922.127/0001-08,"15.068.685,66",ALZR11,2022
VRTA11,FATOR VERITA FUNDO DE INVESTIMENTO,11.664.201/0001-00,"7.112.622,00",ALZR11,2022
,ALIANZA DIGITAL REALTY FII,38.293.862/0001-22,"51.909.403,70",ALZR11,2021
KNCR11,KINEA RENDIMENTOS IMOBILIARIOS FII,16.706.958/0001-32,"17.210.383,40",ALZR11,2021
,SIG CAPITAL REC PUL FII,40.011.324/0001-40,"2.075.000,00",ALZR11,2021
CACR11,AF INVEST FII,32.065.364/0001-46,"1.239.545,50",ALZR11,2021
,TISHMAN SPEYER RENDA CORPORATIVA FII,34.847.042/0001-84,"1.000.000,00",ALZR11,2021
LFTT11,FII LOFT II - LFTT11,24.796.967/0001-90,"1.045.364,01",APTO11,2024
LFTT11,FII LOFT II - LFTT11,24.796.967/0001-90,"1.515.800,83",APTO11,2023
LFTT11,FII LOFT II - LFTT11,24.796.967/0001-90,"1.434.319,56",APTO11,2022
LFTT11,FII LOFT II - LFTT11,24.796.967/0001-90,"1.878.959,17",APTO11,2021
RVBI11,RVBI,35.507.457/0001-71,"1.415.997,30",ARRI11,2024
EDGA11,EDGA11,15.333.306/0001-37,"55.770,00",ARRI11,2024
MORC11,MORC11,40.102.474/0001-69,"1.522.277,40",ARRI11,2023
KNSC11,KNSC11,35.864.448/0001-38,"1.314.750,00",ARRI11,2023
CACR11,CACR16,32.065.364/0001-46,"513.900,00",ARRI11,2023
EDGA11,EDGA11,15.333.306/0001-37,"67.500,00",ARRI11,2023
CACR11,CACR11,32.065.364/0001-46,"2.877.427,00",ARRI11,2022
