Nome,Área,Endereço,Núm. unidades,Vacância,Inadimplência,Share sobre receita,Ticker,Ano,Papel,Nome do fundo,CNPJ,Valor,Emissão,Série
Grand Plaza Shopping,"69.697,51 m2","Avenida Industrial, 600, Centro, Santo André - SP",288,"2,00%","1,00%","98,35%",ABCP11,2024,,,,,,
Grand Plaza Shopping,"69.468,01 m2","Avenida Industrial, 600, Centro, Santo André - SP",382,"2,00%","3,00%","98,38%",ABCP11,2023,,,,,,
Grand Plaza Shopping,"74.503,13 m2","Avenida Industrial, 600, Centro, Santo André - SP",387,"3,00%","2,00%","97,52%",ABCP11,2022,,,,,,
Grand Plaza Shopping,"69.628,00 m2","Avenida Industrial, 600, Centro, Santo André - SP",296,"8,00%","5,00%","98,76%",ABCP11,2021,,,,,,
Grand Plaza Shopping,"69.628,00 m2","Avenida Industrial, 600, Centro, Santo André - SP",296,"2,00%","12,00%","99,67%",ABCP11,2020,,,,,,
Grand Plaza Shopping,"69.628,00 m2","Avenida Industrial, 600, Centro, Santo André - SP",296,"1,00%","1,00%","99,45%",ABCP11,2019,,,,,,
Grand Plaza Shopping,"69.628,00 m2","Avenida Industrial, 600, Centro, Santo André - SP",296,"1,00%","10,00%","99,35%",ABCP11,2018,,,,,,
Grand Plaza Shopping,"69.628,00 m2","Avenida Industrial, 600, Centro, Santo André - SP",300,"1,00%","6,00%","99,64%",ABCP11,2017,,,,,,
Rochavera - Torre D,"14.648,00 m2","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP",1,"0,00%","0,00%","68,77%",AIEC11,2024,,,,,,
Standard Building,"8.341,00 m2","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ",1,"0,00%","0,00%","31,23%",AIEC11,2024,,,,,,
Rochavera - Torre D,"14.648,00 m2","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP",1,"0,00%","0,00%","72,54%",AIEC11,2023,,,,,,
Standard Building,"8.341,00 m2","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ",1,"0,00%","0,00%","27,46%",AIEC11,2023,,,,,,
Rochavera - Torre D,"14.648,00 m2","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP",1,"0,00%","0,00%","0,00%",AIEC11,2023,,,,,,
Standard Building,"8.341,00 m2","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ",1,"0,00%","0,00%","0,00%",AIEC11,2023,,,,,,
Rochavera - Torre D,"14.648,00 m2","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP",1,"0,00%","0,00%","67,30%",AIEC11,2022,,,,,,
Standard Building,"8.341,00 m2","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ",1,"0,00%","0,00%","32,80%",AIEC11,2022,,,,,,
Rochavera - Torre D,"14.648,00 m2","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP",1,"0,00%","0,00%","65,84%",AIEC11,2021,,,,,,
Standard Building,"8.341,00 m2","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ",1,"0,00%","0,00%","34,16%",AIEC11,2021,,,,,,
Edificio Torre Almirante,"43.444,45 m2","Avenida Almirante Barroso, 81, Centro, Rio De Janeiro/RJ, Brasil, 20031-004",38,"55,00%","0,00%","68,71%",ALMI11,2024,,,,,,
Edificio Torre Almirante,"16.724,57 m2","Avenida Almirante Barroso, 81, Centro, Rio De Janeiro/RJ, Brasil, 20031-004",15,"55,00%","0,00%","89,95%",ALMI11,2023,,,,,,
Edificio Torre Almirante,"43.444,45 m2","Avenida Almirante Barroso, 81, Sem Complemento, Centro, Rio De Janeiro/RJ, Brasil, 20031-004",39,"97,00%","0,00%","76,09%",ALMI11,2022,,,,,,
Edificio Torre Almirante,"16.587,60 m2","Avenida Almirante Barroso, 81, Centro, Rio De Janeiro/RJ, Brasil, 20031-004",25,"64,00%","0,00%","87,94%",ALMI11,2021,,,,,,
Edificio Torre Almirante,"16.587,60 m2","Av. Almirante Barroso 81, Rio de Janeiro, RJ, 20031-004",27,"68,00%","0,00%","84,16%",ALMI11,2020,,,,,,
Edificio Torre Almirante,"16.587,60 m2","Av. Almirante Barroso 81, Rio de Janeiro, RJ, 20031-004",25,"80,00%","0,00%","100,00%",ALMI11,2019,,,,,,
Edificio Torre Almirante,"16.587,60 m2","Av. Almirante Barroso 81, , Rio de Janeiro, RJ, 20031-004",23,"82,00%","0,00%","94,92%",ALMI11,2018,,,,,,
Edificio Torre Almirante,"16.587,60 m2","Av. Almirante Barroso 81, , Rio de Janeiro, RJ, 20031-004",25,"82,00%","0,00%","87,54%",ALMI11,2017,,,,,,
Galpao Femsa,"36.740,00 m2","Avenida Dos Estados, S/n, Sem Complemento, Vila Metalurgica, Santo Andre/SP, Brasil, 09220-570",1,"0,00%","0,00%","8,32%",ALZR11,2024,,,,,,
Emprendimento Pueri Domus,"8.016,00 m2","Rua Ministro Godoi, 1697, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05015-001",1,"0,00%","0,00%","7,11%",ALZR11,2024,,,,,,
Atento Del Castilho,"8.178,00 m2","Avenida Dom Helder Camara, 3.203, Sem Complemento, Del Castilho, Rio De Janeiro/RJ, Brasil, 21050-624",1,"0,00%","0,00%","5,75%",ALZR11,2024,,,,,,
Bauducco - Guarulhos,"11.832,59 m2","Rua Fritz Reimann, 500, Sem Complemento, Vila Sao Joao, Guarulhos/SP, Brasil, 07044-020",1,"0,00%","0,00%","5,02%",ALZR11,2024,,,,,,
Dasa - Sumare,"5.227,43 m2","Avenida Sumare, 1500, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05016-110",1,"0,00%","0,00%","4,68%",ALZR11,2024,,,,,,
Air Liquide - Galpao Vila Carioca,"5.008,00 m2","Avenida Carioca, 798, Antigo Numero 70, Lote 30, Vila Carioca, Sao Paulo/SP, Brasil, 04225-002",1,"0,00%","0,00%","4,53%",ALZR11,2024,,,,,,
Editora Moderna Santillana - Belenzinho,"9.260,00 m2","Rua Padre Adelino, 758, Sem Complemento, Quarta Parada, Sao Paulo/SP, Brasil, 03303-000",1,"0,00%","0,00%","4,45%",ALZR11,2024,,,,,,
APTIV Espirito Santo do Pinhal,"18.591,00 m2","Rod. Dr. Gov. Ademar Pereira De Barros, Km 195, 195, , , Espirito Santo Do Pinhal/SP, Brasil, 13990-000",1,"0,00%","0,00%","3,67%",ALZR11,2024,,,,,,
Decatlhon - Morumbi,"28.500,00 m2","Avenida Duquesa De Goias, 381, Sem Complemento, Real Parque, Sao Paulo/SP, Brasil, 05686-001",1,"0,00%","0,00%","3,18%",ALZR11,2024,,,,,,
Imovel Globo - Jardim Botanico,"3.815,52 m2","Rua Pacheco Leao, 70, Sem Complemento, Jardim Botanico, Rio De Janeiro/RJ, Brasil, 22460-030",1,"0,00%","0,00%","3,09%",ALZR11,2024,,,,,,
Dasa - Ascendino Reis,"2.283,66 m2","Avenida Professor Ascendino Reis, 549, Sem Complemento, Vila Clementino, Sao Paulo/SP, Brasil, 04027-000",1,"0,00%","0,00%","1,74%",ALZR11,2024,,,,,,
BRF Bauru,"3.627,00 m2","Avenida Nacoes Unidas, 51, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365",1,"0,00%","0,00%","1,57%",ALZR11,2024,,,,,,
BRF Guarulhos,"3.459,00 m2","Rua Barao De Penedo, 435, Sem Complemento, Cidade Industrial Satelite De Sao Paulo, Guarulhos/SP, Brasil, 07222-015",1,"0,00%","0,00%","1,40%",ALZR11,2024,,,,,,
OBA Hortifruti - SBC,"4.428,00 m2","Avenida Francisco Prestes Maia, 1497, Sem Complemento, Centro, São Bernardo Do Campo/SP, Brasil, 09770-000",1,"0,00%","0,00%","0,00%",ALZR11,2024,,,,,,
OBA Hortifruti - SJRP,"2.722,00 m2","Avenida Presidente Juscelino Kubitschek De Oliveira, 3530, Sem Complemento, Jardim Moysés Miguel Haddad, São José Do Rio Preto/SP, Brasil, 15093-215",1,"0,00%","0,00%","0,00%",ALZR11,2024,,,,,,
OBA Hortifruti - CD Sumare,"33.795,13 m2","Avenida Americo Ribeiro Dos Santos, 385, Sem Complemento, Parque Bandeirantes I (nova Veneza), Sumaré/SP, Brasil, 13181-715",1,"0,00%","0,00%","0,00%",ALZR11,2024,,,,,,
Ed. Araporé - Jd Guedala,"0,00 m2","Rua Ministro Godoi, 1697, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05015-001",1,"100,00%","0,00%","0,00%",ALZR11,2024,,,,,,
Femsa - Santo Andre,"36.740,00 m2","Avenida Dos Estados, S/n, Sem Complemento, Vila Metalurgica, Santo Andre/SP, Brasil, 09220-570",1,"0,00%","0,00%","9,38%",ALZR11,2023,,,,,,
Pueri Domus - Perdizes,"8.016,00 m2","Rua Ministro Godoi, 1697, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05015-001",1,"0,00%","0,00%","8,02%",ALZR11,2023,,,,,,
Atento - Del Castilho,"8.178,00 m2","Avenida Dom Helder Camara, 3.203, Sem Complemento, Del Castilho, Rio De Janeiro/RJ, Brasil, 21050-624",1,"0,00%","0,00%","6,20%",ALZR11,2023,,,,,,
Bauducco - Guarulhos,"11.832,59 m2","Rua Fritz Reimann, 500, Sem Complemento, Vila Sao Joao, Guarulhos/SP, Brasil, 07044-020",1,"0,00%","0,00%","5,59%",ALZR11,2023,,,,,,
