Ticker,Periodo,Aluguéis,Ativo total,CRIs,Caixa,Disponibilidades,FIIs,Imóveis,Outros,Outros val. pagar,Passivo total,Patrimônio líquido,Rend. a distribuir,Renda fixa,Taxa administração,Taxa performance,Total investido,Títulos privados,Títulos públicos,Valores a receber,Venda de imóveis,Data,Ano,Mes,Dia
AAZQ11,1/2023,0.0,235059.0,213950.0,0.0,7305.0,0.0,0.0,13803.0,30.0,3880.0,231179.0,3.606,7305.0,244.0,0.0,227753.0,0.0,0.0,0.0,0.0,2023-01-01,2023,1,1
AAZQ11,1/2024,0.0,234673.0,148616.0,0.0,6201.0,4530.0,0.0,75327.0,31.0,3160.0,231513.0,2.884,6201.0,244.0,0.0,228472.0,0.0,0.0,0.0,0.0,2024-01-01,2024,1,1
AAZQ11,10/2023,0.0,235622.0,153109.0,0.0,21497.0,0.0,0.0,61010.0,28.0,3188.0,232434.0,2.884,21497.0,234.0,41.0,214120.0,0.0,0.0,5.0,0.0,2023-10-01,2023,10,1
AAZQ11,11/2023,0.0,235419.0,170535.0,0.0,4252.0,4841.0,0.0,55791.0,26.0,3404.0,232015.0,2.884,4252.0,223.0,271.0,231166.0,0.0,0.0,1.0,0.0,2023-11-01,2023,11,1
AAZQ11,12/2022,0.0,233019.0,153405.0,0.0,74565.0,0.0,0.0,5049.0,231.0,1931.0,231087.0,1.683,74565.0,18.0,0.0,158454.0,0.0,0.0,0.0,0.0,2022-12-01,2022,12,1
AAZQ11,12/2023,0.0,235309.0,153260.0,0.0,411.0,4688.0,0.0,76950.0,25.0,3487.0,231822.0,2.884,411.0,222.0,355.0,234898.0,0.0,0.0,0.0,0.0,2023-12-01,2023,12,1
AAZQ11,2/2023,0.0,234426.0,213093.0,0.0,7478.0,0.0,0.0,13855.0,37.0,3362.0,231065.0,3.125,7478.0,199.0,0.0,226949.0,0.0,0.0,0.0,0.0,2023-02-01,2023,2,1
AAZQ11,2/2024,0.0,233994.0,148867.0,0.0,26377.0,4352.0,0.0,54399.0,42.0,3137.0,230858.0,2.884,26377.0,210.0,0.0,207618.0,0.0,0.0,0.0,0.0,2024-02-01,2024,2,1
AAZQ11,3/2023,0.0,235235.0,222933.0,0.0,4724.0,0.0,0.0,7578.0,275.0,4162.0,231073.0,3.606,4724.0,20.0,261.0,230511.0,0.0,0.0,0.0,0.0,2023-03-01,2023,3,1
AAZQ11,3/2024,0.0,233840.0,155031.0,0.0,505.0,4475.0,0.0,73738.0,36.0,3142.0,230698.0,2.884,505.0,221.0,0.0,233244.0,0.0,0.0,90.0,0.0,2024-03-01,2024,3,1
AAZQ11,4/2023,0.0,234486.0,204870.0,0.0,22051.0,0.0,0.0,7566.0,14.0,3840.0,230647.0,3.365,22051.0,199.0,261.0,212436.0,0.0,0.0,0.0,0.0,2023-04-01,2023,4,1
AAZQ11,4/2024,0.0,229811.0,142953.0,0.0,3946.0,4302.0,0.0,76509.0,30.0,2938.0,226873.0,2.665,3946.0,243.0,0.0,223764.0,0.0,0.0,2101.0,0.0,2024-04-01,2024,4,1
AAZQ11,5/2023,0.0,234245.0,188740.0,0.0,37930.0,0.0,0.0,7572.0,16.0,3750.0,230496.0,3.125,37930.0,243.0,365.0,196312.0,0.0,0.0,3.0,0.0,2023-05-01,2023,5,1
AAZQ11,5/2024,0.0,229688.0,140854.0,0.0,5775.0,4283.0,0.0,76648.0,34.0,2928.0,226760.0,2.665,5775.0,228.0,0.0,221785.0,0.0,0.0,2128.0,0.0,2024-05-01,2024,5,1
AAZQ11,6/2023,0.0,234461.0,174813.0,0.0,9420.0,0.0,0.0,50223.0,18.0,3135.0,231327.0,2.404,9420.0,232.0,481.0,225036.0,0.0,0.0,5.0,0.0,2023-06-01,2023,6,1
AAZQ11,6/2024,0.0,211509.0,137446.0,0.0,3543.0,4184.0,0.0,64210.0,16.0,2865.0,208644.0,2.644,3543.0,205.0,0.0,205840.0,0.0,0.0,2127.0,0.0,2024-06-01,2024,6,1
AAZQ11,7/2023,0.0,234574.0,179265.0,0.0,3758.0,0.0,0.0,51546.0,21.0,3180.0,231394.0,2.884,3758.0,233.0,41.0,230811.0,0.0,0.0,4.0,0.0,2023-07-01,2023,7,1
AAZQ11,7/2024,0.0,211411.0,120297.0,0.0,12578.0,4273.0,0.0,72141.0,25.0,2539.0,208872.0,2.284,12578.0,230.0,0.0,196710.0,0.0,0.0,2123.0,0.0,2024-07-01,2024,7,1
AAZQ11,8/2023,0.0,235429.0,176073.0,0.0,8714.0,0.0,0.0,50636.0,24.0,3205.0,232223.0,2.884,8714.0,255.0,41.0,226709.0,0.0,0.0,5.0,0.0,2023-08-01,2023,8,1
AAZQ11,9/2023,0.0,230485.0,160973.0,0.0,14543.0,0.0,0.0,54964.0,21.0,3170.0,227316.0,2.884,14543.0,223.0,41.0,215937.0,0.0,0.0,5.0,0.0,2023-09-01,2023,9,1
ABCP11,1/2017,6.177,691988.0,0.0,785.0,10269.0,0.0,674020.0,0.0,1556.0,7432.0,684556.0,5.819,9484.0,57.0,0.0,674020.0,0.0,0.0,7698.0,0.0,2017-01-01,2017,1,1
ABCP11,1/2018,6.69,791750.0,0.0,10.0,9411.0,0.0,774051.0,0.0,213.0,7116.0,784634.0,6.837,9401.0,65.0,0.0,774051.0,0.0,0.0,8288.0,0.0,2018-01-01,2018,1,1
ABCP11,1/2019,7.001,914534.0,0.0,6.0,12641.0,0.0,894848.0,0.0,176.0,9351.0,905184.0,9.099,12636.0,75.0,0.0,894848.0,0.0,0.0,7045.0,0.0,2019-01-01,2019,1,1
ABCP11,1/2020,10.098,1049043.0,0.0,11.0,16936.0,0.0,1021481.0,0.0,1345.0,11595.0,1037448.0,10.163,16925.0,86.0,0.0,1021481.0,0.0,0.0,10625.0,0.0,2020-01-01,2020,1,1
ABCP11,1/2021,12.706,1084739.0,0.0,8.0,14798.0,0.0,1056730.0,0.0,1536.0,9164.0,1075575.0,7.538,14790.0,90.0,0.0,1056730.0,0.0,0.0,13211.0,0.0,2021-01-01,2021,1,1
ABCP11,1/2022,15.978,1131061.0,0.0,10.0,20386.0,0.0,1093309.0,0.0,1302.0,11503.0,1119558.0,10.114,20376.0,86.0,0.0,1093309.0,0.0,0.0,17366.0,0.0,2022-01-01,2022,1,1
ABCP11,1/2023,5.579,435042.0,0.0,6.0,7684.0,0.0,420946.0,0.0,1595.0,4125.0,430917.0,2.433,7678.0,97.0,0.0,420946.0,0.0,0.0,6412.0,0.0,2023-01-01,2023,1,1
ABCP11,1/2024,5.848,481481.0,0.0,5.0,8694.0,0.0,465436.0,0.0,331.0,4391.0,477090.0,3.964,8689.0,97.0,0.0,465436.0,0.0,0.0,7351.0,0.0,2024-01-01,2024,1,1
ABCP11,10/2017,6.463,687810.0,0.0,575.0,5801.0,0.0,674020.0,0.0,213.0,5156.0,682655.0,4.885,5225.0,57.0,0.0,674020.0,0.0,0.0,7989.0,0.0,2017-10-01,2017,10,1
ABCP11,10/2018,6.733,789426.0,0.0,8.0,8548.0,0.0,774051.0,0.0,213.0,5477.0,783949.0,5.203,8540.0,61.0,0.0,774051.0,0.0,0.0,6827.0,0.0,2018-10-01,2018,10,1
ABCP11,10/2019,10.715,918542.0,0.0,6.0,12744.0,0.0,894848.0,0.0,1697.0,7787.0,910755.0,6.01,12738.0,81.0,0.0,894848.0,0.0,0.0,10950.0,0.0,2019-10-01,2019,10,1
ABCP11,10/2020,11.787,1079601.0,0.0,6.0,11023.0,0.0,1056263.0,0.0,1475.0,5923.0,1073678.0,4.362,11016.0,86.0,0.0,1056263.0,0.0,0.0,12316.0,0.0,2020-10-01,2020,10,1
ABCP11,10/2021,16.733,1090704.0,0.0,10.0,15263.0,0.0,1056263.0,0.0,1512.0,7915.0,1082789.0,6.32,15253.0,83.0,0.0,1056263.0,0.0,0.0,19179.0,0.0,2021-10-01,2021,10,1
ABCP11,10/2022,16.066,1131726.0,0.0,10.0,20668.0,0.0,1093309.0,0.0,1626.0,9142.0,1122585.0,7.422,20658.0,93.0,0.0,1093309.0,0.0,0.0,17750.0,0.0,2022-10-01,2022,10,1
ABCP11,10/2023,5.548,435765.0,0.0,5.0,7002.0,0.0,420946.0,0.0,344.0,3359.0,432406.0,2.919,6996.0,97.0,0.0,420946.0,0.0,0.0,7817.0,0.0,2023-10-01,2023,10,1
ABCP11,11/2017,6.638,688218.0,0.0,1.327,6017.0,0.0,674020.0,0.0,213.0,5151.0,683067.0,4.881,4690.0,57.0,0.0,674020.0,0.0,0.0,8181.0,0.0,2017-11-01,2017,11,1
ABCP11,11/2018,7.113,911068.0,0.0,8.0,9068.0,0.0,894848.0,0.0,213.0,5740.0,905328.0,5.509,9060.0,18.0,0.0,894848.0,0.0,0.0,7152.0,0.0,2018-11-01,2018,11,1
ABCP11,11/2019,10.819,1045508.0,0.0,5.0,12703.0,0.0,1021481.0,0.0,1497.0,7595.0,1037912.0,6.011,12698.0,87.0,0.0,1021481.0,0.0,0.0,11324.0,0.0,2019-11-01,2019,11,1
ABCP11,11/2020,11.87,1080195.0,0.0,6.0,11753.0,0.0,1056263.0,0.0,1557.0,6619.0,1073575.0,4.973,11747.0,90.0,0.0,1056263.0,0.0,0.0,12179.0,0.0,2020-11-01,2020,11,1
ABCP11,11/2022,15.976,1130276.0,0.0,10.0,21562.0,0.0,1090903.0,0.0,1592.0,9686.0,1120590.0,8.0,21552.0,93.0,0.0,1090903.0,0.0,0.0,17811.0,0.0,2022-11-01,2022,11,1
ABCP11,11/2023,5.699,436029.0,0.0,5.0,7253.0,0.0,420946.0,0.0,337.0,3352.0,432677.0,2.918,7248.0,97.0,0.0,420946.0,0.0,0.0,7830.0,0.0,2023-11-01,2023,11,1
ABCP11,12/2017,9.669,791913.0,0.0,379.0,6626.0,0.0,774051.0,0.0,213.0,8650.0,783263.0,8.371,6247.0,66.0,0.0,774051.0,0.0,0.0,11236.0,0.0,2017-12-01,2017,12,1
ABCP11,12/2018,10.195,914572.0,0.0,7.0,8354.0,0.0,894848.0,0.0,176.0,7091.0,907480.0,6.844,8347.0,71.0,0.0,894848.0,0.0,0.0,11370.0,0.0,2018-12-01,2018,12,1
ABCP11,12/2019,14.126,1048888.0,0.0,11.0,12322.0,0.0,1021481.0,0.0,1573.0,7689.0,1041199.0,6.013,12311.0,104.0,0.0,1021481.0,0.0,0.0,15085.0,0.0,2019-12-01,2019,12,1
ABCP11,12/2020,14.833,1084097.0,0.0,8.0,12616.0,0.0,1056263.0,0.0,1521.0,7317.0,1076780.0,5.706,12608.0,90.0,0.0,1056263.0,0.0,0.0,15218.0,0.0,2020-12-01,2020,12,1
ABCP11,12/2021,20.043,1132142.0,0.0,10.0,17635.0,0.0,1093309.0,0.0,1547.0,9424.0,1122718.0,7.789,17624.0,88.0,0.0,1093309.0,0.0,0.0,21198.0,0.0,2021-12-01,2021,12,1
ABCP11,12/2022,7.466,437068.0,0.0,4.05,8259.0,0.0,420946.0,0.0,6049.0,6219.0,430849.0,79.0,4209.0,91.0,0.0,420946.0,0.0,0.0,7863.0,0.0,2022-12-01,2022,12,1
ABCP11,12/2023,7.342,481681.0,0.0,5.0,7775.0,0.0,465436.0,0.0,412.0,3671.0,478010.0,3.162,7770.0,97.0,0.0,465436.0,0.0,0.0,8471.0,0.0,2023-12-01,2023,12,1
ABCP11,2/2017,5.667,690086.0,0.0,540.0,8750.0,0.0,674020.0,0.0,1396.0,9894.0,680192.0,8.441,8210.0,57.0,0.0,674020.0,0.0,0.0,7315.0,0.0,2017-02-01,2017,2,1
ABCP11,2/2018,6.154,790059.0,0.0,499.0,8070.0,0.0,774051.0,0.0,213.0,5163.0,784896.0,4.884,7572.0,65.0,0.0,774051.0,0.0,0.0,7938.0,0.0,2018-02-01,2018,2,1
ABCP11,2/2019,6.579,912503.0,0.0,6.0,10736.0,0.0,894848.0,0.0,610.0,7347.0,905156.0,6.66,10730.0,77.0,0.0,894848.0,0.0,0.0,6919.0,0.0,2019-02-01,2019,2,1
ABCP11,2/2020,9.987,1045099.0,0.0,10.0,13418.0,0.0,1021481.0,0.0,1318.0,7436.0,1037663.0,6.016,13408.0,102.0,0.0,1021481.0,0.0,0.0,10199.0,0.0,2020-02-01,2020,2,1
ABCP11,2/2021,12.419,1082623.0,0.0,8.0,12975.0,0.0,1056708.0,0.0,1491.0,7168.0,1075455.0,5.587,12967.0,90.0,0.0,1056708.0,0.0,0.0,12940.0,0.0,2021-02-01,2021,2,1
ABCP11,2/2022,15.226,1127662.0,0.0,10.0,17444.0,0.0,1093309.0,0.0,1189.0,7465.0,1120197.0,6.189,17434.0,87.0,0.0,1093309.0,0.0,0.0,16909.0,0.0,2022-02-01,2022,2,1
ABCP11,2/2023,5.513,435547.0,0.0,6.0,7807.0,0.0,420946.0,0.0,1527.0,4056.0,431491.0,2.432,7801.0,97.0,0.0,420946.0,0.0,0.0,6794.0,0.0,2023-02-01,2023,2,1
ABCP11,2/2024,5.36,479943.0,0.0,5.0,7477.0,0.0,465436.0,0.0,298.0,2853.0,477090.0,2.458,7472.0,97.0,0.0,465436.0,0.0,0.0,7029.0,0.0,2024-02-01,2024,2,1
ABCP11,3/2017,5.816,689719.0,0.0,434.0,8268.0,0.0,674020.0,0.0,1199.0,9110.0,680609.0,7.854,7834.0,57.0,0.0,674020.0,0.0,0.0,7431.0,0.0,2017-03-01,2017,3,1
ABCP11,3/2018,6.095,790095.0,0.0,472.0,8116.0,0.0,774051.0,0.0,213.0,5169.0,784926.0,4.89,7643.0,65.0,0.0,774051.0,0.0,0.0,7928.0,0.0,2018-03-01,2018,3,1
ABCP11,3/2019,6.77,912324.0,0.0,6.0,10451.0,0.0,894848.0,0.0,246.0,6989.0,905335.0,6.661,10445.0,81.0,0.0,894848.0,0.0,0.0,7025.0,0.0,2019-03-01,2019,3,1
ABCP11,3/2020,9.41,1044001.0,0.0,5.0,12734.0,0.0,1021481.0,0.0,1315.0,1438.0,1042563.0,37.0,12729.0,86.0,0.0,1021481.0,0.0,0.0,9786.0,0.0,2020-03-01,2020,3,1
ABCP11,3/2021,12.116,1080565.0,0.0,7.0,8778.0,0.0,1056637.0,0.0,1438.0,2844.0,1077721.0,1.317,8771.0,90.0,0.0,1056637.0,0.0,0.0,15150.0,0.0,2021-03-01,2021,3,1
ABCP11,3/2022,15.439,1129622.0,0.0,10.0,19792.0,0.0,1093309.0,0.0,1305.0,8202.0,1121420.0,6.811,19783.0,87.0,0.0,1093309.0,0.0,0.0,16521.0,0.0,2022-03-01,2022,3,1
ABCP11,3/2023,5.592,435438.0,0.0,6.0,7117.0,0.0,420946.0,0.0,1083.0,3614.0,431825.0,2.433,7111.0,97.0,0.0,420946.0,0.0,0.0,7375.0,0.0,2023-03-01,2023,3,1
ABCP11,3/2024,5.394,480281.0,0.0,6.0,7559.0,0.0,465436.0,0.0,344.0,2903.0,477377.0,2.463,7554.0,97.0,0.0,465436.0,0.0,0.0,7286.0,0.0,2024-03-01,2024,3,1
ABCP11,4/2017,5.901,690115.0,0.0,291.0,8469.0,0.0,674020.0,0.0,1021.0,9127.0,680989.0,8.05,8178.0,57.0,0.0,674020.0,0.0,0.0,7626.0,0.0,2017-04-01,2017,4,1
ABCP11,4/2018,6.482,790592.0,0.0,34.0,8196.0,0.0,774051.0,0.0,213.0,5166.0,785426.0,4.887,8162.0,65.0,0.0,774051.0,0.0,0.0,8345.0,0.0,2018-04-01,2018,4,1
ABCP11,4/2019,7.076,912495.0,0.0,5.0,10312.0,0.0,894848.0,0.0,221.0,6959.0,905536.0,6.662,10306.0,75.0,0.0,894848.0,0.0,0.0,7335.0,0.0,2019-04-01,2019,4,1
ABCP11,4/2020,11.213,1046505.0,0.0,5.0,12627.0,0.0,1021481.0,0.0,1244.0,1369.0,1045136.0,37.0,12622.0,87.0,0.0,1021481.0,0.0,0.0,12397.0,0.0,2020-04-01,2020,4,1
