Ticker,Trimestre,% despesas,% em caixa,Div. Yield,Inadimplência,Negócios/dia,P/VP,Patrimônio,Qnt. cotas,Qnt. cotistas,VP por cota,Vacância,Valor merc.,Volume diário,Data,Ano,Mes,Dia,Preco_Cota,VPC,Rendimento_Anual,Cap_Rate
AAZQ11,1T2023,0.0043,0.0204,0.0632,0.0,0.0,1.03,231070000.0,24000000.0,8227.0,9.61,0.0,237730000.0,0.0,2023-01-01,2023,1,1,9.898299999999999,9.627916666666666,0.6255725599999999,2.631441383081647e-09
AAZQ11,2T2023,0.0040999999999999995,0.0407,0.10710000000000001,0.0,3.368,1.01,231330000.0,24000000.0,14565.0,9.62,0.0,233400000.0,686130.0,2023-04-01,2023,4,1,9.716199999999999,9.63875,1.04060502,4.458461953727507e-09
AAZQ11,2T2024,0.0034999999999999996,0.017,0.19390000000000002,0.0,4.971,0.86,208640000.0,24000000.0,27954.0,8.68,0.0,179560000.0,1110000.0,2024-04-01,2024,4,1,7.464799999999999,8.693333333333333,1.44742472,8.060952996212965e-09
AAZQ11,3T2023,0.0032,0.064,0.1509,0.0,5.702,0.99,227320000.0,24000000.0,19556.0,9.46,0.0,225950000.0,803890.0,2023-07-01,2023,7,1,9.365400000000001,9.471666666666666,1.4132388600000003,6.254653064837355e-09
AAZQ11,4T2022,0.0029,0.32270000000000004,0.0092,0.0,1.994,1.03,231090000.0,24000000.0,4514.0,9.61,0.0,237730000.0,308660.0,2022-10-01,2022,10,1,9.898299999999999,9.62875,0.09106435999999998,3.830579228536574e-10
AAZQ11,4T2023,0.0044,0.0018,0.18510000000000001,0.0,5.553,0.94,231820000.0,24000000.0,23739.0,9.64,0.0,218980000.0,955780.0,2023-10-01,2023,10,1,9.0616,9.659166666666666,1.6773021600000002,7.659613480683168e-09
ABCP11,1T2017,0.0004,0.0121,0.0287,0.05,21.0,1.43,680610000.0,61000000.0,735.0,11.15,0.01,970200000.0,20000.0,2017-01-01,2017,1,1,15.9445,11.157540983606557,0.45760714999999996,4.716626984126983e-10
ABCP11,1T2018,0.0004,0.0103,0.09359999999999999,0.09,224.0,1.27,784930000.0,61000000.0,5092.0,12.86,0.02,,464180.0,2018-01-01,2018,1,1,16.3322,12.867704918032787,1.5286939199999998,
ABCP11,1T2019,0.0005,0.0115,0.0726,0.1,698.0,1.47,905330000.0,12200000.0,23764.0,74.18,0.01,,500910.0,2019-01-01,2019,1,1,109.0446,74.20737704918032,7.91663796,
ABCP11,1T2020,0.0003,0.012199999999999999,0.0926,0.01,342.0,0.97,,12200000.0,21556.0,85.43,0.01,,1540000.0,2020-01-01,2020,1,1,82.86710000000001,,7.67349346,
ABCP11,1T2021,0.0003,0.008100000000000001,0.048600000000000004,0.21,260.0,0.89,,12200000.0,20012.0,88.31,0.12,956780000.0,264080.0,2021-01-01,2021,1,1,78.5959,,3.8197607400000004,3.992308304939485e-09
ABCP11,1T2022,0.0006,0.0176,0.0951,0.05,223.0,0.79,,12200000.0,19046.0,91.89,0.08,889660000.0,102600.0,2022-01-01,2022,1,1,72.5931,,6.903603810000001,7.759822640109706e-09
ABCP11,1T2024,0.0007000000000000001,0.0158,0.0901,0.01,129.0,0.77,477380000.0,4700000.0,16751.0,101.37,0.02,366130000.0,74280.0,2024-01-01,2024,1,1,78.0549,101.57021276595745,7.03274649,1.9208331712779613e-08
ABCP11,2T2017,0.0004,0.008,0.0496,0.07,13.0,1.48,678350000.0,61000000.0,837.0,11.12,0.02,,14910.0,2017-04-01,2017,4,1,16.4576,11.12049180327869,0.81629696,
ABCP11,2T2018,0.0003,0.0102,0.1076,0.08,759.0,1.12,781790000.0,61000000.0,6547.0,12.81,0.02,878680000.0,478630.0,2018-04-01,2018,4,1,14.347200000000003,12.816229508196722,1.5437587200000003,1.7569066326762874e-09
ABCP11,2T2019,0.0005,0.0121,0.073,0.1,628.0,1.47,906570000.0,12200000.0,26115.0,74.29,0.01,,423720.0,2019-04-01,2019,4,1,109.20630000000001,74.30901639344262,7.9720599000000005,
ABCP11,2T2020,0.0004,0.011899999999999999,0.0739,0.1,241.0,1.03,,12200000.0,21115.0,85.23,0.02,,250260.0,2020-04-01,2020,4,1,87.7869,,6.48745191,
