Ticker,Trimestre,Lucro líquido,Outras desp/receitas,Res. imóveis estoque,Res. imóveis renda,Resultado TVM,Resultado financeiro,Data,Ano,Mes,Dia
AAZQ11,1T2023,10.345,-999.0,0.0,0.0,10.34,1.004,2023-01-01,2023,1,1
AAZQ11,2T2023,9.148,-959.0,0.0,0.0,8.935,1.172,2023-04-01,2023,4,1
AAZQ11,2T2024,-14.121,-729.0,0.0,0.0,-13.489,97.0,2024-04-01,2024,4,1
AAZQ11,3T2023,9.804,-721.0,0.0,0.0,10.356,169.0,2023-07-01,2023,7,1
AAZQ11,4T2022,2.346,-677.0,0.0,0.0,1.087,1.936,2022-10-01,2022,10,1
AAZQ11,4T2023,7.999,-1.016,0.0,0.0,8.866,149.0,2023-10-01,2023,10,1
ABCP11,1T2017,14.404,-242.0,0.0,14.435,0.0,211.0,2017-01-01,2017,1,1
ABCP11,1T2018,15.262,-297.0,0.0,15.458,0.0,101.0,2018-01-01,2018,1,1
ABCP11,1T2019,16.77,-432.0,0.0,17.063,0.0,140.0,2019-01-01,2019,1,1
ABCP11,1T2020,17.473,-351.0,0.0,17.708,0.0,116.0,2020-01-01,2020,1,1
ABCP11,1T2021,13.266,-351.0,0.0,13.571,0.0,46.0,2021-01-01,2021,1,1
ABCP11,1T2022,19.693,-646.0,0.0,19.954,0.0,385.0,2022-01-01,2022,1,1
ABCP11,1T2024,7.937,-344.0,0.0,8.088,0.0,194.0,2024-01-01,2024,1,1
ABCP11,2T2017,14.963,-279.0,0.0,15.072,0.0,170.0,2017-04-01,2017,4,1
ABCP11,2T2018,14.955,-269.0,0.0,15.123,0.0,101.0,2018-04-01,2018,4,1
ABCP11,2T2019,18.439,-451.0,0.0,18.756,0.0,134.0,2019-04-01,2019,4,1
ABCP11,2T2020,3.589,-449.0,0.0,3.951,0.0,88.0,2020-04-01,2020,4,1
ABCP11,2T2021,13.293,-809.0,0.0,14.023,0.0,79.0,2021-04-01,2021,4,1
ABCP11,2T2022,20.199,-467.0,0.0,20.182,0.0,484.0,2022-04-01,2022,4,1
ABCP11,2T2023,7.402,-586.0,0.0,7.797,0.0,190.0,2023-04-01,2023,4,1
ABCP11,3T2017,15.216,-533.0,0.0,15.663,0.0,86.0,2017-07-01,2017,7,1
ABCP11,3T2018,16.257,-238.0,0.0,16.363,0.0,132.0,2018-07-01,2018,7,1
ABCP11,3T2019,18.399,-336.0,0.0,18.588,0.0,147.0,2019-07-01,2019,7,1
ABCP11,3T2020,5.474,-317.0,0.0,5.765,0.0,26.0,2020-07-01,2020,7,1
ABCP11,3T2021,18.186,-389.0,0.0,18.413,0.0,162.0,2021-07-01,2021,7,1
ABCP11,3T2022,21.374,-351.0,0.0,21.167,0.0,558.0,2022-07-01,2022,7,1
ABCP11,3T2023,7.837,-351.0,0.0,7.954,0.0,234.0,2023-07-01,2023,7,1
ABCP11,4T2017,118.796,-233.0,0.0,118.958,0.0,71.0,2017-10-01,2017,10,1
ABCP11,4T2018,139.661,-305.0,0.0,139.859,0.0,107.0,2018-10-01,2018,10,1
ABCP11,4T2019,149.558,-336.0,0.0,149.766,0.0,129.0,2019-10-01,2019,10,1
ABCP11,4T2020,47.734,-693.0,0.0,48.387,0.0,40.0,2020-10-01,2020,10,1
ABCP11,4T2021,60.747,-535.0,0.0,61.02,0.0,262.0,2021-10-01,2021,10,1
ABCP11,4T2022,8.568,-15.23,0.0,23.217,0.0,581.0,2022-10-01,2022,10,1
ABCP11,4T2023,79.672,-440.0,0.0,79.888,0.0,225.0,2023-10-01,2023,10,1
AFHI11,1T2021,-815.0,-138.0,0.0,0.0,-864.0,187.0,2021-01-01,2021,1,1
AFHI11,1T2022,4.939,-540.0,0.0,0.0,5.376,103.0,2022-01-01,2022,1,1
AFHI11,1T2023,10.369,-786.0,0.0,0.0,10.72,435.0,2023-01-01,2023,1,1
AFHI11,1T2024,7.985,-1.007,0.0,0.0,8.296,696.0,2024-01-01,2024,1,1
AFHI11,2T2021,5.334,-364.0,0.0,0.0,5.328,370.0,2021-04-01,2021,4,1
AFHI11,2T2022,6.119,-502.0,0.0,0.0,6.201,420.0,2022-04-01,2022,4,1
AFHI11,2T2023,13.768,-800.0,0.0,0.0,14.183,386.0,2023-04-01,2023,4,1
AFHI11,2T2024,6.589,-1.081,0.0,0.0,7.197,473.0,2024-04-01,2024,4,1
AFHI11,3T2021,5.334,-364.0,0.0,0.0,5.328,370.0,2021-07-01,2021,7,1
AFHI11,3T2022,7.078,-205.0,0.0,0.0,6.494,789.0,2022-07-01,2022,7,1
AFHI11,3T2023,6.95,-860.0,0.0,0.0,7.352,459.0,2023-07-01,2023,7,1
AFHI11,4T2021,8.48,-472.0,0.0,0.0,8.864,88.0,2021-10-01,2021,10,1
AFHI11,4T2022,7.155,-402.0,0.0,0.0,7.102,456.0,2022-10-01,2022,10,1
AFHI11,4T2023,11.781,-912.0,0.0,0.0,12.2,494.0,2023-10-01,2023,10,1
