Nome,CNPJ,Emissão,Série,Valor,Ticker,Ano
RB CAPITAL SECURITIZADORA S.A.,02.773.542/0001-22,60.0,1.0,22995656.54,AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,12.0,2.0,20027825.29,AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,11.0,1.0,19902286.79,AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,9.0,1.0,17020585.39,AAZQ11,2024
ECO SECURITIZADORA DIREITOS CRED AGRONEG,10.753.164/0001-43,313.0,1.0,8039572.32,AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,25.0,1.0,7294286.28,AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,17.0,1.0,6827645.51,AAZQ11,2024
VIRGO COMPANHIA DE SECURITIZAÇÃO,08.769.451/0001-08,178.0,1.0,6622333.11,AAZQ11,2024
ECO SECURITIZADORA DIREITOS CRED AGRONEG,10.753.164/0001-43,234.0,1.0,5591971.07,AAZQ11,2024
CANAL COMPANHIA DE SECURITIZACAO,41.811.375/0001-19,53.0,1.0,3948168.24,AAZQ11,2024
OCTANTE SECURITIZADORA S.A.,12.139.922/0001-63,36.0,1.0,2978674.25,AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,35.0,2.0,2909775.35,AAZQ11,2024
VIRGO COMPANHIA DE SECURITIZAÇÃO,08.769.451/0001-08,179.0,1.0,2551860.42,AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,26.0,1.0,2122556.36,AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,12.0,1.0,2002448.74,AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,35.0,1.0,1986031.26,AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,30.0,2.0,856455.03,AAZQ11,2024
VERT COMPANHIA SECURITIZADORA,43.737.117/0001-65,79.0,1.0,836640.01,AAZQ11,2024
ECO SECURITIZADORA DIREITOS CRED AGRONEG,10.753.164/0001-43,203.0,1.0,585979.53,AAZQ11,2024
RBCAPITALRES,02.773.542/0001-22,93.0,1.0,584073.19,AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,24.0,1.0,486357.93,AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,26.0,2.0,380357.09,AAZQ11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,137.0,1.0,377660.94,AAZQ11,2024
CANAL COMPANHIA DE SECURITIZACAO,41.811.375/0001-19,58.0,1.0,240272.45,AAZQ11,2024
CERES SECURITIZADORA S/A,41.534.746/0001-62,24.0,2.0,216399.75,AAZQ11,2024
CANAL COMPANHIA DE SECURITIZACAO,41.811.375/0001-19,58.0,2.0,60092.57,AAZQ11,2024
OPEA SECURITIZADORA S/A,02.773.542/0001-22,60.0,1.0,22989629.61,AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,11.0,1.0,22775247.89,AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,12.0,2.0,20029729.86,AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,9.0,1.0,17022106.09,AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,17.0,1.0,16934179.65,AAZQ11,2023
VIRGO SECURITIZACAO,08.769.451/0001-08,178.0,1.0,7574870.94,AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,26.0,1.0,6633885.49,AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,26.0,1.0,6007675.44,AAZQ11,2023
ECO SEC AGRO,10.753.164/0001-43,234.0,1.0,5606524.56,AAZQ11,2023
True Securitizadora S.A.,12.130.744/0001-00,137.0,1.0,5378283.44,AAZQ11,2023
VIRGO SECURITIZACAO,08.769.451/0001-08,179.0,1.0,5139559.58,AAZQ11,2023
ECO SEC AGRO,10.753.164/0001-43,203.0,1.0,3380235.94,AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,19.0,2.0,3098541.39,AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,19.0,1.0,3078656.05,AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,24.0,1.0,2136973.0,AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,12.0,1.0,2002645.58,AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,26.0,2.0,1170789.04,AAZQ11,2023
CERES SECURITIZADORA,41.534.746/0001-62,24.0,2.0,917077.73,AAZQ11,2023
OPEA SECURITIZADORA S/A,02.773.542/0001-22,93.0,1.0,584318.75,AAZQ11,2023
CANAL COMPANHIA DE SECURITIZACAO,41.811.375/0001-19,53.0,1.0,499053.44,AAZQ11,2023
CANAL COMPANHIA DE SECURITIZACAO,41.811.375/0001-19,58.0,2.0,240293.92,AAZQ11,2023
CANAL COMPANHIA DE SECURITIZACAO,41.811.375/0001-19,58.0,2.0,60097.94,AAZQ11,2023
