Nome,Área,Endereço,Núm. unidades,Vacância,Inadimplência,Share sobre receita,Ticker,Ano,Área (m²)
Grand Plaza Shopping,"69.697,51 m2","Avenida Industrial, 600, Centro, Santo André - SP",288.0,0.02,0.01,0.9834999999999999,ABCP11,2024,69697.51
Grand Plaza Shopping,"69.468,01 m2","Avenida Industrial, 600, Centro, Santo André - SP",382.0,0.02,0.03,0.9838,ABCP11,2023,69468.01
Grand Plaza Shopping,"74.503,13 m2","Avenida Industrial, 600, Centro, Santo André - SP",387.0,0.03,0.02,0.9752,ABCP11,2022,74503.13
Grand Plaza Shopping,"69.628,00 m2","Avenida Industrial, 600, Centro, Santo André - SP",296.0,0.08,0.05,0.9876,ABCP11,2021,69628.0
Grand Plaza Shopping,"69.628,00 m2","Avenida Industrial, 600, Centro, Santo André - SP",296.0,0.02,0.12,0.9967,ABCP11,2020,69628.0
Grand Plaza Shopping,"69.628,00 m2","Avenida Industrial, 600, Centro, Santo André - SP",296.0,0.01,0.01,0.9945,ABCP11,2019,69628.0
Grand Plaza Shopping,"69.628,00 m2","Avenida Industrial, 600, Centro, Santo André - SP",296.0,0.01,0.1,0.9934999999999999,ABCP11,2018,69628.0
Grand Plaza Shopping,"69.628,00 m2","Avenida Industrial, 600, Centro, Santo André - SP",300.0,0.01,0.06,0.9964,ABCP11,2017,69628.0
Rochavera - Torre D,"14.648,00 m2","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP",1.0,0.0,0.0,0.6877,AIEC11,2024,14648.0
Standard Building,"8.341,00 m2","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ",1.0,0.0,0.0,0.3123,AIEC11,2024,8341.0
Rochavera - Torre D,"14.648,00 m2","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP",1.0,0.0,0.0,0.7254,AIEC11,2023,14648.0
Standard Building,"8.341,00 m2","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ",1.0,0.0,0.0,0.2746,AIEC11,2023,8341.0
Rochavera - Torre D,"14.648,00 m2","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP",1.0,0.0,0.0,0.0,AIEC11,2023,14648.0
Standard Building,"8.341,00 m2","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ",1.0,0.0,0.0,0.0,AIEC11,2023,8341.0
Rochavera - Torre D,"14.648,00 m2","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP",1.0,0.0,0.0,0.6729999999999999,AIEC11,2022,14648.0
Standard Building,"8.341,00 m2","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ",1.0,0.0,0.0,0.32799999999999996,AIEC11,2022,8341.0
Rochavera - Torre D,"14.648,00 m2","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP",1.0,0.0,0.0,0.6584,AIEC11,2021,14648.0
Standard Building,"8.341,00 m2","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ",1.0,0.0,0.0,0.34159999999999996,AIEC11,2021,8341.0
Edificio Torre Almirante,"43.444,45 m2","Avenida Almirante Barroso, 81, Centro, Rio De Janeiro/RJ, Brasil, 20031-004",38.0,0.55,0.0,0.6870999999999999,ALMI11,2024,43444.45
Edificio Torre Almirante,"16.724,57 m2","Avenida Almirante Barroso, 81, Centro, Rio De Janeiro/RJ, Brasil, 20031-004",15.0,0.55,0.0,0.8995000000000001,ALMI11,2023,16724.57
Edificio Torre Almirante,"43.444,45 m2","Avenida Almirante Barroso, 81, Sem Complemento, Centro, Rio De Janeiro/RJ, Brasil, 20031-004",39.0,0.97,0.0,0.7609,ALMI11,2022,43444.45
Edificio Torre Almirante,"16.587,60 m2","Avenida Almirante Barroso, 81, Centro, Rio De Janeiro/RJ, Brasil, 20031-004",25.0,0.64,0.0,0.8794,ALMI11,2021,16587.6
Edificio Torre Almirante,"16.587,60 m2","Av. Almirante Barroso 81, Rio de Janeiro, RJ, 20031-004",27.0,0.68,0.0,0.8416,ALMI11,2020,16587.6
Edificio Torre Almirante,"16.587,60 m2","Av. Almirante Barroso 81, Rio de Janeiro, RJ, 20031-004",25.0,0.8,0.0,1.0,ALMI11,2019,16587.6
Edificio Torre Almirante,"16.587,60 m2","Av. Almirante Barroso 81, , Rio de Janeiro, RJ, 20031-004",23.0,0.82,0.0,0.9492,ALMI11,2018,16587.6
Edificio Torre Almirante,"16.587,60 m2","Av. Almirante Barroso 81, , Rio de Janeiro, RJ, 20031-004",25.0,0.82,0.0,0.8754000000000001,ALMI11,2017,16587.6
Galpao Femsa,"36.740,00 m2","Avenida Dos Estados, S/n, Sem Complemento, Vila Metalurgica, Santo Andre/SP, Brasil, 09220-570",1.0,0.0,0.0,0.0832,ALZR11,2024,36740.0
